企業名,法人番号,熱量,鮮度h,直近イベント,求人件数,卒年,出稿増,採用ページ更新,インテント,初検知,最終更新,取得日
株式会社バンダイ,,45.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-06-21T05:23:17.843Z,2026-06-21
森永製菓株式会社,,45.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-06-21T05:23:17.843Z,2026-06-21
日本航空株式会社,,45.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-06-21T05:23:17.843Z,2026-06-21
株式会社ロッテ,,45.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-06-21T05:23:17.843Z,2026-06-21
アサヒグループジャパン株式会社,,45.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-06-21T05:23:17.843Z,2026-06-21
株式会社KADOKAWA,,45.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-06-21T05:23:17.843Z,2026-06-21
味の素AGF株式会社,,45.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-06-21T05:23:17.843Z,2026-06-21
キリンホールディングス株式会社,,45.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-06-21T05:23:17.843Z,2026-06-21
Ｓｋｙ株式会社,,45.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-06-21T05:23:17.843Z,2026-06-21
サントリーホールディングス株式会社,,45.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-06-21T05:23:17.843Z,2026-06-21