企業名,法人番号,業種,都道府県,従業員数,設立年,補助金,代表者名,公式URL
株式会社アイ・アイ・エム,1010001000055,,東京都中央区八丁堀３丁目６番１号,117,1988,,関根淳,
五洋建設株式会社,1010001000006,総合建設業,東京都文京区後楽２丁目２番８号,3539,1950,,清水琢三,http://www.penta-ocean.co.jp/
スズデン株式会社,1010001003966,,東京都千代田区外神田２丁目２番３号,387,1952,,高谷健文,
株式会社片平新日本技研,1010001001854,"1.土木、建設に関する測量、調査、企画、計画、管理、　コンサルティングに附帯又は関連する一切の事業
2.労働者派遣事業",東京都文京区小石川２丁目２２番２号,268,1970,,山崎幹夫,http://www.katahira.co.jp/
日産化学株式会社,1010001008734,機能性材料、農業化学品、医薬品、化学品の開発、製造、販売,東京都中央区日本橋２丁目５番１号,2044,1921,,八木晋介,
ＪＦＥスチール株式会社,1010001008668,鉄鋼製品・半製品（熱延薄鋼板、冷延薄鋼板、表面処理鋼板、厚鋼板、形鋼、Ｈ形鋼、鋼矢板、レール、継目無鋼管、鍛接鋼管、電縫,東京都千代田区内幸町２丁目２番３号,15578,1950,,廣瀬政之,https://www.jfe-steel.co.jp/saiyou/culture/welfare.html
住友商事株式会社,1010001008692,全世界に展開するグローバルネットワークとさまざまな産業分野における企業・消費者との信頼関係をベースに、多様な商品・サービ,東京都千代田区大手町２丁目３番２号,4829,1919,,上野真吾,http://www.sumitomocorp.co.jp
ウシオ電機株式会社,1010001008651,光応用製品事業ならびに産業機械およびその他事業,東京都港区三田３丁目５番１９号住友不動産東京三田ガーデンタワー３１階,1677,1949,,朝日崇文,http://www.ushio.co.jp
ＤＯＷＡホールディングス株式会社,1010001008750,環境・リサイクル事業、製錬事業、電子材料事業、金属加工事業および熱処理事業,東京都千代田区外神田４丁目１４番１号,1010,,,関口明,http://www.dowa.co.jp/
ピーエス・コンストラクション株式会社,1010001008742,"1．プレストレスト・コンクリート工事の請負ならびに企画、設計、施工監理
2．土木一式工事、建築一式工事の請負ならびに企画",東京都港区東新橋１丁目９番１号,1325,1952,,森拓也,http://www.psc.co.jp/
三井物産株式会社,1010001008767,鉄鋼製品、金属資源、エネルギー、プロジェクト、モビリティ、化学品、食料、流通事業、ウェルネス事業、ICT事業、コーポレー,東京都千代田区大手町１丁目２番１号,5587,1947,,堀健一,http://www.mitsui.com/jp/ja/index.html
日本曹達株式会社,1010001008833,化学製品の製造・販売,東京都千代田区丸の内２丁目７番２号,1407,1920,,阿賀英司,http://www.nippon-soda.co.jp/
アース環境サービス株式会社,1010001009823,,東京都中央区晴海４丁目７番４号,1961,1978,,田渕徹,
東京電力ホールディングス株式会社,1010001008825,電気事業,東京都千代田区内幸町１丁目１番３号,7999,1951,,小早川智明,https://www.tepco.co.jp/about/esg/hractivate/index-j.html
株式会社アスク,1010001009831,,東京都千代田区九段南４丁目８番１９号ＣＩＲＣＬＥＳ＋市ヶ谷駅前,140,1997,,武藤和彦,
石福金属興業株式会社,1010001010624,貴金属精製加工販売業,東京都千代田区内神田３丁目２０番７号,351,1934,,古宮基成,https://www.ishifuku-kinzoku.co.jp/
イチカワ株式会社,1010001000708,抄紙用フエルト、抄紙用ベルトおよびスレート・その他工業用フエルトの製造、販売,東京都文京区本郷２丁目１４番１５号,523,1949,,矢崎孝信,http://www.ik-felt.co.jp/
商船三井ロジスティクス株式会社,1010001012546,,東京都千代田区内幸町１丁目２番２号,321,1960,,伊藤崇,
ＮＴＴ都市開発株式会社,1010001012372,"(1) 不動産の取得、処分及び管理
(2) 不動産の貸借、仲介及び鑑定
(3) 建築物の設計、施工、工事監理及びその受託",東京都千代田区外神田４丁目１４番１号,764,,,中川裕,https://www.nttud.co.jp/
株式会社大塚商会,1010001012983,"?システムインテグレーション事業／コンピューター、複合機、通信機器、ソフトウェアの販売および受託ソフトの開発など
?サー",東京都千代田区飯田橋２丁目１８番４号,8673,1961,,大塚裕司,https://www.otsuka-shokai.co.jp/
株式会社オーヤラツクス,1010001013305,医薬品製造販売業,東京都千代田区麹町１丁目６番地２,177,1962,,松村かおり,http://www.oyalox.co.jp/
日本高周波鋼業株式会社,1010001016852,,東京都千代田区岩本町１丁目１０番５号,507,,,小椋大輔,
株式会社グロービス,1010001015334,ビジネススクール運営、人材育成・組織開発、経営ノウハウの出版・発信,東京都千代田区二番町５番地１,778,1989,,堀義人,https://globis.co.jp/
株式会社ニッスイ,1010001016860,世界中の水産資源へのアクセスを通じ、漁業、養殖生産、加工による「水産品」の販売、冷凍食品、缶詰、フィッシュソーセージ等の,東京都港区西新橋１丁目３番１号,1505,,,田中輝,https://www.nissui.co.jp/
株式会社ミクニ,1010001008791,"電子制御燃料噴射関連機器の製造・販売
気化器類、ポンプ類その他自動車部品の製造・販売
ガス制御機器の製造・販売
航空宇宙",東京都千代田区外神田６丁目１３番１１号,1627,,,生田久貴,https://www.mikuni.co.jp/
ジャパンプロテクション株式会社,1010001019236,,東京都千代田区二番町５番７号,573,1969,,高山弘康,
株式会社ザイエンス,1010001017941,,東京都千代田区丸の内２丁目３番２号,200,1931,,田中順子,
株式会社ＣＡＣ　Ｈｏｌｄｉｎｇｓ,1010001019335,,東京都中央区日本橋箱崎町２４番１号,1098,,,西森良太,
住商エアロシステム株式会社,1010001020185,航空機器、航空機用及び船舶用エンジン、宇宙衛星機器、車両、通信電子機器、レーダー、特機等の貿易、国内販売及び保守整備業務,東京都千代田区一ツ橋１丁目２番２号,167,1982,,上野智規,https://www.sc-aero.co.jp/
ミズホ株式会社,1010001007612,医療器械・器具の製造・販売,東京都文京区本郷３丁目３０番１３号,594,1939,,根本裕司,https://www.mizuho.co.jp
ソリッドコミュニケーション株式会社,1010001021349,,東京都千代田区麹町５丁目３番３号麹町ＫＳスクエア５階,146,1994,,金子健吾,
株式会社第一管理代行,1010001021381,,東京都千代田区神田三崎町２丁目１５番５号,290,1966,,古渡徹,
株式会社中央経済社ホールディングス,1010001022710,,東京都千代田区神田神保町１丁目３５番地,69,,,山本憲央,
株式会社ティ・オー・エス,1010001023378,システム設計、開発、管理及び運用サービスなど,東京都千代田区内神田３丁目１１番７号,133,1973,,小池敏英,
東洋計測器株式会社,1010001024129,,東京都千代田区外神田１丁目３番１２号,50,1956,,八巻秀次,
東光電気工事株式会社,1010001024087,"・内線事業：建築電気設備、消防施設設備、情報通信設備の設計施工
・外線事業：送電線、電車線、発・変電所、通信線、道路照明",東京都千代田区西神田１丁目４番５号,1323,1947,,山本隆洋,http://www.tokodenko.co.jp/
株式会社内藤一水社,1010001025135,,東京都千代田区麹町３丁目２番地,107,1947,,内藤好之,
イー・アンド・エム株式会社,1010001010847,ソフトウェア開発及び販売、サービスサポート,東京都千代田区麹町３丁目１番地１,368,1979,,岩城範彦,http://www.eandm.co.jp/
ＮＸ商事株式会社,1010001025515,,東京都港区海岸１丁目１４番２２号,3136,1958,,青木進,
日信防災株式会社,1010001025449,防災システム及び駐車場システムの設計・施工・販売・保守,東京都千代田区岩本町３丁目２番４号,156,1989,,矢口孝仁,http://www.nissin-b.co.jp
株式会社エフエム東京,1010001012439,民間FM放送,東京都千代田区麹町１丁目７番地,124,1970,,唐島夏生,https://www.tfm.co.jp/company/profile/
株式会社はとバスエージェンシー,1010001026819,"広告代理業
保険代理店
商事事業
人材派遣業
旅行業
中古バス売買業
警備業・メンテナンス",東京都千代田区丸の内１丁目９番１号,160,1963,,田中博昭,
株式会社野澤組,1010001026166,貿易商社,東京都千代田区有楽町１丁目５番２号,168,1944,,野澤毅一郎,https://www.nosawa.co.jp/
山崎金属産業株式会社,1010001031109,,東京都千代田区岩本町１丁目８番１１号,113,,,山崎洋一郎,
株式会社共立メンテナンス,1010001014427,"（1）学生寮・社員寮・ワンルームマンション事業
（2）ホテル事業
（3）シニアライフ事業
（4）その他前号に附帯する事業",東京都千代田区外神田２丁目１８番８号,4072,1979,,中村幸治,http://www.kyoritsugroup.co.jp/
株式会社読売アルスＡ,1010001031728,新聞、雑誌、ラジオ、テレビ、折込、インターネット、その他の広告代理業務、各種催し物の企画、斡旋業務など,東京都千代田区富士見２丁目１番１２号,119,1957,,高木典和,https://www.yomiuri-ag.co.jp/recruit/2026/diversity/
株式会社ＪＰＦ,1010001033237,"（１）公営競技のトータルマネジメント
（２）公営競技及びアマチュア競技の着順判定写真撮影業務
（３）審判業務用ＶＴＲの撮",東京都千代田区富士見２丁目４番１１号,685,1957,,渡辺俊太郎,https://www.jpf.co.jp/about/
ＣＨＥＭＩＰＡＺ株式会社,1010001033609,製紙用化学薬品の製造販売、印刷インキ用・記録材料用樹脂の製造販売,東京都中央区日本橋本町３丁目３番６号,479,,,菅正道,https://www.chemipaz.com/
株式会社テレコムスクエア,1010001026918,情報通信サービス,東京都千代田区三番町８番地１,111,1974,,吉竹雄次,https://www.telecomsquare.net/aboutus/ge_actionplan/
株式会社内田洋行,1010001034730,"【公共関連事業】
学校教育市場への教育機器・教材・コンテンツの製造・販売、ICTシステムの構築、学校空間デザイン・家具販",東京都中央区新川２丁目４番７号,1319,1941,,大久保昇,http://www.uchida.co.jp/
株式会社岡三証券グループ,1010001034747,,東京都中央区日本橋室町２丁目２番１号,50,,,新芝宏之,
三菱ＵＦＪファクター株式会社,1010001022149,"ファクタリング業務
代金回収代行業務
でんさい一括ファクタリング業務",東京都千代田区神田淡路町２丁目１０１番地,604,1977,,小川浩一,https://www.muf.bk.mufg.jp/company/
株式会社資生堂,1010001034813,化粧品、業務用化粧品、石鹸、シャンプー、リンス、医薬品などの製造販売、輸出入,東京都中央区銀座７丁目５番５号,5159,,,藤原憲太郎,https://corp.shiseido.com/jp/sustainability/labor/working.html
ＤＭ三井製糖株式会社,1010001034929,,東京都港区芝５丁目２６番１６号,52,,,森本卓,
日清オイリオグループ株式会社,1010001034887,油脂事業、加工食品・素材事業、ファインケミカル事業　等,東京都中央区新川１丁目２３番１号,1577,,,久野貴久,https://www.nisshin-oillio.com/company/
Ｂｉｔｃｏｉｎ　Ｊａｐａｎ株式会社,1010001034953,"和装品、洋装品、寝装品、健康関連商材等と貴金属・宝石等の卸売販売
意匠撚糸の製造販売",東京都墨田区横網１丁目１０番５号,124,,,上杉隼士,http://www.hotta-marusho.co.jp/
株式会社松屋,1010001034945,百貨店業,東京都中央区銀座３丁目６番１号,818,1919,,古屋毅彦,http://www.matsuya.com/
株式会社ジェイエイシーリクルートメント,1010001019483,人材紹介事業,東京都千代田区神田神保町１丁目１０５番地神保町三井ビルディング１４階,2188,1988,,兼田崎ひろみ,https://corp.jac-recruitment.jp/csr/diversity/
日本紙パルプ商事株式会社,1010001034978,"1.紙、パルプ、古紙の売買および輸出入
2.包装材料の売買および輸出入
3.燃料類の売買および輸出入
4.化成品、工業薬",東京都中央区勝どき３丁目１２番１号フォアフロントタワー,900,1916,,渡辺昭彦,http://www.kamipa.co.jp/
わかもと製薬株式会社,1010001035010,,東京都中央区日本橋本町２丁目２番２号,286,,,五十嵐新,
日本パーカライジング株式会社,1010001034994,"あらゆる素材を錆や腐食から守る「表面処理薬剤」の製造・販売。
金属の耐摩耗性を向上させる熱処理加工・防錆処理加工。
表面",東京都中央区日本橋２丁目１６番８号,1022,1928,,青山雅之,http://www.parker.co.jp/
東海東京フィナンシャル・ホールディングス株式会社,1010001034202,東海東京証券を中心とする東海東京フィナンシャル・グループの持株会社。,東京都中央区日本橋２丁目５番１号,2800,,,佐藤昌孝,https://www.tokaitokyo-fh.jp/sustainability/materiality-4/diversity/
株式会社教映社,1120001000341,映像機器のレンタルと販売,大阪府大阪市旭区大宮４丁目１５番６号,156,1967,,佐藤一男,https://kyoeisha.com/
シャープマーケティングジャパン株式会社,1040001008905,"?システム機器、業務用ディスプレイ、ドキュメント機器、オフィスサプライ品等の販売事業
?コンサルティング、システム企画・",大阪府八尾市北亀井町３丁目１番７２号,2849,1977,,大山貞,https://smj.jp.sharp/
株式会社かんこう,1120001007221,,大阪府大阪市城東区野江１丁目１２番８号,166,1953,,谷口智之,
近代警備保障株式会社,1120001007337,,大阪府大阪市都島区片町２丁目７番１９号,330,1974,,松村治彦,
加陽印刷株式会社,1120001007205,印刷業,大阪府大阪市都島区高倉町３丁目５番２８号,97,1964,,加福太郎,https://kayo.co.jp/
平和不動産株式会社,1010001034920,不動産業,東京都中央区日本橋兜町１番１０号,105,,,土本清幸,https://www.heiwa-net.co.jp/
ＳＡＮＥＩ株式会社,1120001012428,水道器具製造販売,大阪府大阪市東成区玉津１丁目１２番２９号,845,,,西岡利明,https://www.sanei.ltd/
ＦＣＭ株式会社,1120001011859,"・電子部品の加工、電子機器用部品ならびに半導体用部材の製造および販売
・電線用芯線ならびにその他線材の製造および販売
・",大阪府大阪市東成区神路３丁目８番３６号,346,,,川森晋治,http://www.fc-m.co.jp/
株式会社ぐるなび,1010001034565,パソコン・携帯電話などによる飲食店のインターネット検索サービスその他関連する事業,東京都千代田区有楽町１丁目１番２号,888,1989,,杉原章郎,https://corporate.gnavi.co.jp/profile/sustainability/diversity/
永大化工株式会社,1120001019704,プラスチック成形品製造・販売,大阪府大阪市平野区平野北２丁目３番９号,145,,,浦義則,http://www.eidaikako.co.jp
アイコム株式会社,1120001019349,無線通信機器、ネットワーク機器等の製造、販売,大阪府大阪市平野区加美鞍作１丁目６番１９号,689,1964,,中岡洋詞,https://www.icom.co.jp/
ホシザキ京阪株式会社,1120001025289,業務用厨房機器の販売及びメンテナンス,大阪府大阪市中央区内本町２丁目２番１２号,588,1969,,鈴木美紀,https://www.hoshizaki-keihan.co.jp/
大日本塗料株式会社,1120001026551,各種塗料製造・販売,大阪府大阪市中央区南船場１丁目１８番１１号,655,,,里隆幸,
大阪製鐵株式会社,1120001028390,鉄スクラップを原料とした鉄鋼製品の生産・販売,大阪府大阪市中央区道修町３丁目６番１号,585,,,谷潤一,http://www.osaka-seitetu.co.jp/
阪神警備保障株式会社,1120001031502,各種警備業務,大阪府大阪市住之江区中加賀屋３丁目５番９号,301,1993,,深見士,
株式会社大森屋,1120001034595,海苔、ふりかけ、お茶漬け等の製造・販売,大阪府大阪市此花区西九条１丁目１番６０号,371,,,稲野達郎,
毎美エンジニアリング株式会社,1120001036427,,大阪府大阪市福島区海老江５丁目４番８号,195,1981,,植田隆司,
株式会社クボタ,1120001037978,「農業機械」「産業機械」「水システム」「環境システム」「都市・インフラ」などの事業分野のシステム・製品の研究開発・製造お,大阪府大阪市北区大深町５番５４号,16481,1930,,花田晋吾,http://www.kubota.co.jp/
日本インシュレーション株式会社,1120001040610,保温断熱材・耐火建材の製造販売、施工,大阪府大阪市中央区南船場１丁目１８番１７号,400,,,吉井智彦,
帝国製鋲株式会社,1120001029380,製造業,大阪府大阪市港区海岸通３丁目２番２１号,62,1917,,鈴木典和,http://www.teikoku-seibyo.com
株式会社オートメーション．サービス,1120001042136,受託開発ソフトウェア業,大阪府大阪市西区西本町１丁目１３番３７号,142,1973,,神澤規智,
因幡電機産業株式会社,1120001041352,電設・電子・情報機器販売及び空調システム部材の製造・販売,大阪府大阪市西区立売堀４丁目１１番１４号,1941,1949,,玉垣雅之,https://www.inaba.co.jp/
サンキン株式会社,1120001043596,,大阪府大阪市西区新町２丁目１５番２７号,584,1946,,田貴晴,https://www.sankin.co.jp/
サムテック株式会社,1120001043522,自動車用鍛造品およびフローフォーミング成形品ならびに高圧ガス容器の製造販売,大阪府大阪市西区江戸堀１丁目２４番１５号,440,1949,,阪口善樹,https://www.samtech.co.jp/index.html
株式会社浜正,1120001046590,伝導機器・機械工具販売,大阪府大阪市西区立売堀４丁目６番７号,106,1963,,浜口隆之,
南海化学株式会社,1120001046120,,大阪府大阪市西区南堀江１丁目１２番１９号,213,,,杉岡伸也,
中外商工株式会社,1120001045403,建築材料の製造・販売・施工,大阪府大阪市西区靱本町１丁目９番１５号,180,1952,,岡田憲一,http://www.chugai-af.co.jp
株式会社マコト電気,1120001047424,,大阪府大阪市北区梅田３丁目４番５号,91,1951,,上村武,
株式会社栗本鐵工所,1120001048991,,大阪府大阪市西区北堀江１丁目１２番１９号,1375,1934,,菊本一高,
株式会社山善,1120001049040,生産財、消費財の専門商社,大阪府大阪市西区立売堀２丁目３番１６号,1852,1947,,岸田貢司,
株式会社サガミホールディングス,1180001000443,飲食業,愛知県名古屋市守山区八剣２丁目１１８番地,7426,,,大西尚真,http://www.sagami.co.jp/
株式会社つむら工芸,1120001045502,メディア、舞台、その他エンターテイメント向けの造形物製作事業,大阪府大阪市西区京町堀２丁目１２番２４号,178,1957,,浜田晋,https://tsumura-kogei.com/recruitwork/
中部資材株式会社,1180001006837,植物検疫防除業、建設業、荷役機器メンテナンス業、コンテナ修理・販売業、自動車整備業ほか,愛知県名古屋市港区入船２丁目２番２８号,567,1949,,高木要馬,
レンゴー株式会社,1120001036880,板紙、段ボール・段ボール箱、軟包装製品等の製造・販売,大阪府大阪市福島区大開４丁目１番１８６号,4711,,,兼ＣＯＯ川本洋祐,https://www.rengo.co.jp/sustainability/social/humanresources/workplace/worklifebalance/index.html
明星工業株式会社,1120001049032,断熱工事業　（保温・保冷、築炉耐火、断熱耐火被覆、原子力その他）,大阪府大阪市西区京町堀１丁目８番５号,358,,,栁瀬徹次,https://www.meisei-kogyo.co.jp
日邦産業株式会社,1120901007832,"・メーカー機能を持ち合わせた商社で、主に産業資材/半導体部品/自動車部品/住宅設備部品等を販売。
・海外拠点は東南アジア",愛知県名古屋市中区錦１丁目１０番１号,319,,,岩佐恭知,http://www.nip.co.jp
朝日金属株式会社,1180001011481,製鋼原料加工、販売、他,愛知県名古屋市北区六が池町５５５番地,240,1962,,桑原由行,http://www.asahi-metal.com
ニプロバスキュラー株式会社,1180001001887,医療機器の輸入・開発・製造・販売,愛知県名古屋市中区栄４丁目５番３号ＫＤＸ名古屋栄ビル５階,330,1975,,半田知久,http://www.goodmankk.com
大同メタル工業株式会社,1180001012595,輸送用機械器具製造業,愛知県名古屋市中区栄２丁目３番１号名古屋広小路ビルヂング１３階,1377,,,兼判治誠吾,https://www.daidometal.com/jp/
株式会社ニットー,1180001013107,建設工事事業、住宅メンテナンス事業,愛知県名古屋市中川区広川町３丁目１番地８,245,,,中野英樹,https://www.nittoh-info.co.jp/
株式会社チップトン,1180001014914,"産業機械・付帯装置、研磨材・セラミックス製品の開発、製造、販売。

＜産業機械・付帯装置＞
・表面処理装置（バレル研磨機",愛知県名古屋市南区豊田３丁目１９番２１号,210,1939,,小林知之,https://www.tipton.co.jp
愛知株式会社,1180001015879,,愛知県名古屋市東区筒井３丁目２７番２５号,219,1939,,島本迪彦,
名古屋酸素株式会社,1180001007067,高圧ガス他販売業,愛知県名古屋市港区小碓１丁目１２番地,116,1913,,飯田哲郎,https://www.nagoya-sanso.co.jp
株式会社スズケン,1180001017009,医療用医薬品、試薬、医療用機器、医療材料、食品などの販売、ならびに医療用機器の開発製造,愛知県名古屋市東区東片端町８番地,3409,1946,,浅野茂,http://www.suzuken.co.jp
敷島製パン株式会社,1180001016877,パン、和洋菓子の製造、販売,愛知県名古屋市東区白壁５丁目３番地,5565,1919,,盛田淳夫,http://www.pasconet.co.jp/
株式会社新日,1180001019673,総合建設コンサルタンツ,愛知県名古屋市中川区山王１丁目８番３０号,100,1971,,石堂公彦,
カネ美食品株式会社,1180001023411,,愛知県名古屋市緑区徳重３丁目１０７番地,10691,,,今井善広,
クロスプラス株式会社,1180001025507,,愛知県名古屋市西区花の木３丁目９番１３号,1027,,,山本大寛,
名工建設株式会社,1180001027354,総合建設業,愛知県名古屋市中村区名駅１丁目１番４号ＪＲセントラルタワーズ３４階,1145,1941,,松野篤二,http://www.meikokensetsu.co.jp
株式会社アオキスーパー,1180001029202,"食料品小売業
スーパーマーケットチェーン",愛知県名古屋市中村区鳥居西通１丁目１番地,3775,,,青木俊道,https://aokisuper.co.jp/news/
株式会社ＥＶＥＲＹＦＯＯＤ,1180001001037,集団給食,愛知県名古屋市中区千代田５丁目７番５号,9967,1967,,杉浦卓,https://everygroup.co.jp/ef/
東海ソフト株式会社,1180001031538,,愛知県名古屋市中村区則武２丁目１６番１号,544,1970,,尾上雅憲,
メイラ株式会社,1180001031884,,愛知県名古屋市中村区椿町１７番１５号,758,1936,,大橋真,
ＭＨＩエアロテクノロジーズ株式会社,1180001031934,,愛知県名古屋市中区栄３丁目１８番１号,967,1974,,守田昌史,
教育産業株式会社,1180001035456,映像・音響・情報通信機器の販売、同設備の設計設置・修理・保守並びにレンタル及び映像制作を主な業務としています。,愛知県名古屋市中区丸の内３丁目１８番２８号,210,1952,,今枝伸保,http://www.ksg.co.jp/
興和株式会社,1180001035811,"【商社部門】
繊維、機械、建材、船舶、鉱物資源、化成品原料、生活関連物資などの輸出入、三国間貿易および国内販売
【メーカ",愛知県名古屋市中区錦３丁目６番２９号,3986,,,兼三輪芳弘,http://www.kowa.co.jp/
株式会社ＣＢＣクリエイション,1180001036669,テレビ番組・映像の制作、イベントの企画運営,愛知県名古屋市中区新栄１丁目２番８号,137,1955,,伊藤司,http://www.cbc-creation.co.jp/
株式会社コアズ,1180001035761,警備業・ビルメンテナンス業,愛知県名古屋市中区錦１丁目１６番２０号,6300,1974,,加藤僚,http://www.corps.co.jp/
大同興業株式会社,1180001037502,特殊鋼、原材料、機械、電子部品等の売買および輸出入,愛知県名古屋市東区東桜１丁目１番１０号,338,1946,,伊藤愼悟,
株式会社新東通信,1180001036792,総合広告業,愛知県名古屋市中区丸の内３丁目１６番２９号,318,1972,,谷鉄也,https://www.shinto-tsushin.co.jp/company/
オイレス工業株式会社,1010401006049,,神奈川県藤沢市桐原町８番地,1080,,,坂入良和,
川北電気工業株式会社,1180001035290,各種電気設備の設計・施工・工程管理・技術開発,愛知県名古屋市中区栄４丁目６番２５号,379,1939,,大津正己,https://www.kawakita.co.jp
ラピスセミコンダクタ株式会社,1010101008452,生産受託、ファウンドリ事業,神奈川県横浜市港北区新横浜２丁目４番地８,730,2008,,和久野一雅,http://www.lapis-semi.com
株式会社アート,1010701014775,セキュリティ製品の製造・販売,神奈川県川崎市中原区市ノ坪３２２番地７,100,2003,,関本祥文,https://www.art-japan.co.jp/company/active_promotion
株式会社小野測器,1020001001886,電子計測制御機器の製造・販売,神奈川県横浜市西区みなとみらい３丁目３番３号,715,1940,,大越祐史,
日本飛行機株式会社,1020001006613,輸送用機器具製造業　及び　航空機整備・改修・改造,神奈川県横浜市金沢区昭和町３１７５番地,1271,1949,,高羽謙哉,
海洋電子工業株式会社,1020001006043,防衛省分野における通信機器等の開発・設計・製造・保守整備,神奈川県横浜市金沢区鳥浜町１２番地５１,484,1951,,榎本英雄,
株式会社信友建設,1020001007520,,神奈川県横浜市戸塚区鳥が丘１２番地１,50,1978,,福嶋隆太郎,
株式会社アルファ,1020001005862,創業以来、我々の生活で欠かす事のできない“カギ（キー＆ロック）”を中心としたセキュリティ商品を、自動車・住宅・産業機器・,神奈川県横浜市金沢区福浦１丁目６番８号,460,,,塚野哲幸,http://kk-alpha.com/
株式会社シバックス,1020001008907,輸送用機械器具製造業,神奈川県横浜市都筑区川和町２５５番地３,210,1964,,柴崎繁昭,
ハーベスト株式会社,1020001010441,,神奈川県横浜市保土ケ谷区岩間町２丁目１２０番地,2301,1960,,脇本実,
株式会社明光社,1020001013873,総合ビル管理・清掃・警備・設備管理,神奈川県横浜市南区南吉田町１丁目１３番地の２（明光社ビル）,680,1960,,赤崎継一,
ジオマテック株式会社,1020001015003,,神奈川県横浜市西区みなとみらい２丁目２番１号,313,,,兼松﨑建太郎,
横浜植木株式会社,1020001013956,"総合園芸業
種苗開発販売
園芸資材卸売
ＷＥＢネット販売
造園工事・指定管理・植栽管理",神奈川県横浜市南区唐沢１５番地,296,1893,,伊藤智司,https://www.yokohamaueki.co.jp
株式会社ジャスト,1020001011844,"＜既存構造物向けサービス＞
建物調査、構造診断レビュー他
＜新築構造物向けサービス＞
受入検査、第三者監理、設計",神奈川県横浜市青葉区あざみ野南２丁目４番１号,448,1972,,角田賢明,https://www.just-ltd.co.jp/
株式会社ＣＩＪ,1020001015606,システム開発およびシステム開発に関連するサービス,神奈川県横浜市西区高島１丁目２番５号,807,1976,,坂元昭彦,https://www.cij.co.jp/company/wlb/
