企業名,法人番号,採用中,発見媒体,求人件数,採用職種,取得日,根拠
株式会社アイ・アイ・エム,1010001000055,○,求人ボックス,1,東京／採用・人材開発企画,2026-06-14,job-engine-hit
スズデン株式会社,1010001003966,○,求人ボックス,24,愛知／知立市／機械設計「先端技術を活用した生産設備設計・組立/愛知／知立市／製造「制御盤の製作・検査」・未経験歓迎／スキル/知立市／FA機器・制御機器のソリューション営業／転勤なし／土/年間休日121日 土日祝休み 働きやすさと技術力向上/土日祝休み 年間休日123日 昇給あり 賞与年2回,2026-06-14,job-engine-hit
日産化学株式会社,1010001008734,○,求人ボックス,12,化学品の技術開発／試作品製造／一般職／転勤なし/「山口」生産設備エンジニア機械 ～ホワイト500連続認定／営/「富山」生産設備エンジニア機械 ～ホワイト500連続認定／営/未経験歓迎 袖ケ浦・市原／ディスプレイ材料の製造スタッフ 教/「千葉県船橋市」半導体実装材料の研究開発／営業利益率20%以,2026-06-14,job-engine-hit
アース環境サービス株式会社,1010001009823,○,求人ボックス,17,事務 一般事務／外勤業務 土日休み／残業ほぼなし／時短勤務O/「技術営業／北海道」総合環境衛生管理工場の品質サポート/「技術営業／静岡」総合環境衛生管理工場の品質サポート/提案営業 未経験歓迎 衛生環境の改善に寄与／アース・大塚グル/「技術営業／茨城」総合環境衛生管理工場の品質サポート,2026-06-14,job-engine-hit
株式会社アスク,1010001009831,○,求人ボックス,25,病院・施設等の設備員/総務課長候補／東証上場グループの安定基盤で「ゆとりある管理職/自社Webサービス運営の責任者部長候補／上場グループ×マンシ/「総務部門の管理職」／人事・庶務・労務・給与／年休122日/「運営部長／年収〜900万」マンションコンシェルジュのパイオ,2026-06-14,job-engine-hit
商船三井ロジスティクス株式会社,1010001012546,○,求人ボックス,1,フォワーダー営業／国際物流営業／商船三井G,2026-06-14,job-engine-hit
日本高周波鋼業株式会社,1010001016852,○,求人ボックス,18,富山／生産技術 機械系／残業月20 30h程度／土日祝休み／/富山／管理職／生産技術／上流工程から幅広く携わる 残業月20/生産技術スタッフ／富山県射水市/富山／総合職／生産技術／上流工程から幅広く携わる 残業月20/富山／生産技術 電気系／残業月20 30h程度／土日祝休み／,2026-06-14,job-engine-hit
ジャパンプロテクション株式会社,1010001019236,○,求人ボックス,2,渋谷駅周辺の施設警備／夜勤のみ／屋内で安心／週2日～OK/中学・高校の常駐警備スタッフ,2026-06-14,job-engine-hit
株式会社ザイエンス,1010001017941,○,求人ボックス,7,"「東京」設計職／幅広い製造・企画に関わる 賞与年2から3回/面接1回 広島市／経理アシスタント 決算まで経験可 賞与実績/広島市中区／経理 残業少なめ／創業103周年の木材メーカ／業/経験を活かす「経理職」 週休二日 賞与6.48ヶ月/経理事務／賞与6.48ヶ月と昇給～9,700円でキャリア形成",2026-06-14,job-engine-hit
株式会社第一管理代行,1010001021381,○,求人ボックス,1,病院の清掃スタッフ,2026-06-14,job-engine-hit
ソリッドコミュニケーション株式会社,1010001021349,○,求人ボックス,2,開発エンジニア 金融・官公庁向け／大手Sier案件・大規模メ/Webサービス系エンジニア・プログラマ,2026-06-14,job-engine-hit
株式会社ＣＡＣ　Ｈｏｌｄｉｎｇｓ,1010001019335,,,,,2026-06-14,not-found
株式会社中央経済社ホールディングス,1010001022710,○,求人ボックス,1,2027 新卒採用 出版,2026-06-14,job-engine-hit
株式会社ティ・オー・エス,1010001023378,,,,,2026-06-14,not-found
東洋計測器株式会社,1010001024129,○,求人ボックス,1,火力発電所の設備メンテナンス／無資格・未経験OK／土日祝休み,2026-06-14,job-engine-hit
株式会社内藤一水社,1010001025135,,,,,2026-06-14,not-found
ＮＸ商事株式会社,1010001025515,○,求人ボックス,21,自動車整備/山形市／自動車整備士 東証プライム上場NXグループ／年休12/新潟市／整備士 特殊車両／東証プライム上場NXグループ／年休/自動車整備士・ピットスタッフ/名古屋／物流施設等の設計・監理 NXグループ／東証プライム上,2026-06-14,job-engine-hit
株式会社はとバスエージェンシー,1010001026819,,,,,2026-06-14,not-found
山崎金属産業株式会社,1010001031109,,,,,2026-06-14,not-found
株式会社岡三証券グループ,1010001034747,○,求人ボックス,15,社内情報セキュリティ担当者 ～ 岡三証券グループへ出向／少数/三越前／リスク管理業務 土日祝休み／転勤無し／福利厚生充実／/浅草橋／社内SE サーバ・クラウド基盤技術者／土日祝休み／転/証券営業 未経験歓迎 年間休日125日／創業103年／入社後/証券営業 年間休日125日／創業103年の独立系総合証券／人,2026-06-14,job-engine-hit
ＤＭ三井製糖株式会社,1010001034929,○,求人ボックス,5,千葉工場／お砂糖づくりを支える 自社設備の保全・メンテ 賞与/田町／在宅可／社内SE アプリ担当／製糖業界のリーディングカ/港区／在宅可／「砂糖」から「健康」へ。 事業拡大期を支える上/田町／在宅可／社内SE インフラ／製糖業界のリーディングカン/田町／人材組織開発担当・製糖業界トップシェア／経営に近い位置,2026-06-14,job-engine-hit
わかもと製薬株式会社,1010001035010,○,求人ボックス,6,神奈川／新松田駅／製剤技術 年休130日・残業 10h程度／/初任地北海道／MR 年休130日・土日祝休み／直行直帰／家族/神奈川／新松田・転勤無／医薬品の品質保証「医療業界経験活かす/2027 新卒採用 薬品/製剤技術,2026-06-14,job-engine-hit
株式会社かんこう,1120001007221,○,求人ボックス,13,管理職採用／経理／管理職／転勤なし／土日祝休み/大阪／人事／採用・労務・教育／総務/人事・総務 管理職/大阪／京阪電鉄駅務機器メンテナンス担当 年休121／京阪HD/サーバー・ネットワークの監視技術者 未経験可／京阪HDグルー,2026-06-14,job-engine-hit
近代警備保障株式会社,1120001007337,○,求人ボックス,1,有名大学通学路での誘導警備員募集,2026-06-14,job-engine-hit
大日本塗料株式会社,1120001026551,○,求人ボックス,1,2027 新卒採用 化学,2026-06-14,job-engine-hit
阪神警備保障株式会社,1120001031502,○,求人ボックス,1,交通誘導警備／警備員／軽作業・物流系 週1~OK リニューア,2026-06-14,job-engine-hit
株式会社大森屋,1120001034595,○,求人ボックス,5,法人営業/営業職/上場食品メーカーを支える 未経験OK 土日休み&駅チカ/老舗食品メーカーの法人営業職／さいたま市南区の求人/問屋・量販店・コンビニ向け自社商品の提案／さいたま市南区の求,2026-06-14,job-engine-hit
毎美エンジニアリング株式会社,1120001036427,○,求人ボックス,1,学生寮共用部の日常清掃,2026-06-14,job-engine-hit
日本インシュレーション株式会社,1120001040610,○,求人ボックス,1,2027 新卒採用 建材・エクステリア,2026-06-14,job-engine-hit
株式会社オートメーション．サービス,1120001042136,○,求人ボックス,1,システムエンジニア,2026-06-14,job-engine-hit
株式会社浜正,1120001046590,,,,,2026-06-14,not-found
南海化学株式会社,1120001046120,○,求人ボックス,3,和歌山市／化学品の製造 資格保有者歓迎／老舗化学メーカー／残/「製造」／賞与5ヶ月/化学品の製造／オペレーション・監視・分析 寮・社宅あり 昇給,2026-06-14,job-engine-hit
株式会社マコト電気,1120001047424,○,求人ボックス,17,未経験OK 営業戦略の企画・立案・開拓!完全土日祝休み／残業/「大阪／梅田」電気施工管理 夜勤なし／完全週休二日／土日祝休/大阪梅田／転勤無／電気施工管理 夜勤なし／完全週休二日／土日/プラント施工管理／住宅手当/法人営業,2026-06-14,job-engine-hit
株式会社栗本鐵工所,1120001048991,○,求人ボックス,2,2027 新卒採用 機械/「大阪／施工管理職」パイプシステムの施工管理,2026-06-14,job-engine-hit
株式会社山善,1120001049040,○,求人ボックス,17,2027 新卒採用 商社／機械・プラント・環境/「大阪／法人営業」東証プライム上場／工作機械販売数国内トップ/「北関東埼玉／法人営業」住宅設備国内トップクラスの専門商社/神奈川／施工管理 土木工事／土日祝休 休日出勤なし 年休12/「横浜／法人営業」住宅設備国内トップクラスの専門商社,2026-06-14,job-engine-hit
中部資材株式会社,1180001006837,○,求人ボックス,1,施設管理業務,2026-06-14,job-engine-hit
愛知株式会社,1180001015879,,,,,2026-06-14,not-found
株式会社新日,1180001019673,○,求人ボックス,1,土木設計,2026-06-14,job-engine-hit
カネ美食品株式会社,1180001023411,○,求人ボックス,20,商品企画/愛知／名古屋／「店舗設計・自社の厨房や店舗」 会社規模100/惣菜店の店舗運営スタッフ 店長候補 連休取得可／定着率9割以/キッチン／フード系／惣菜・スイーツ販売 職場復帰·扶養内OK/キッチン／フード系／惣菜・スイーツ販売 学生活躍中 贅沢ごは,2026-06-14,job-engine-hit
クロスプラス株式会社,1180001025507,○,求人ボックス,11,名古屋市西区／社内SE・DX推進 SES・SI歓迎・年休12/名古屋市西区／社内PG・DX推進 初心者歓迎・年休126日・/日本橋エリア／ファッション雑貨デザイナー 特に帽子／大手アパ/日本橋エリア／レディスアパレルMD 大手アパレル商社／リモー/日本橋エリア／アパレル企画営業 Lサイズ向け 年間休日126,2026-06-14,job-engine-hit
東海ソフト株式会社,1180001031538,○,求人ボックス,18,大阪／プロジェクトリーダー/業務系SE／都営浅草線大門駅から徒歩4分／業務系SE・PG／/開発エンジニア／港区／都営浅草線大門駅から徒歩4分／東京都／/開発エンジニア／都営浅草線大門駅から徒歩4分／港区／東京都／/名古屋／プロジェクトリーダー 製造×ITに強みをもつSIer,2026-06-14,job-engine-hit
メイラ株式会社,1180001031884,○,求人ボックス,20,岐阜／人事制度企画/岐阜／関市／品質メンバー 未経験歓迎／製造業界の発展に貢献 /岐阜／関／生産技術／働き方／残業11H以下・土日休み 大手企/岐阜／関／採用担当／人事企画に挑戦可 制度・組織開発にも関与/二卒歓迎 岐阜／関市／生産技術エンジニア 立ち上げ 保全／ク,2026-06-14,job-engine-hit
ＭＨＩエアロテクノロジーズ株式会社,1180001031934,○,求人ボックス,3,障害者雇用／三菱重工の技術部門を幅広くサポートする三菱重工直/障害者雇用／技術職募集/障害者雇用／事務職募集,2026-06-14,job-engine-hit
大同興業株式会社,1180001037502,○,求人ボックス,14,社内SE／課長候補/名古屋／社内SE メンバークラス／東証プライム上場 大同特殊/機械営業「東京／プライム市場上場G／年間休日127日」/商社営業 鉄鋼商材 「東京／プライム市場上場G／年間休日12/名古屋／貿易事務 商社／年休122日／面接1回 プライム上場,2026-06-14,job-engine-hit
オイレス工業株式会社,1010401006049,○,求人ボックス,8,自動車部品の営業～東証プライム上場／経常利益率9.1%／年間/足利／組立・工程管理 交代勤務／年休127日／地震から人と建/藤沢 エアベアリング／設計開発 国内シェアトップ／週2定時退/宇都宮 法人営業／自動車業界向け プライム上場／ニッチトップ/藤沢 国内トップメーカー／働き易さが魅力,2026-06-14,job-engine-hit
株式会社小野測器,1020001001886,○,求人ボックス,1,2027 新卒採用 精密機器,2026-06-14,job-engine-hit
日本飛行機株式会社,1020001006613,○,求人ボックス,20,横浜／航空機部品の生産技術「未経験歓迎」年休125日／残業1/神奈川・大和市／品質保証・プライム上場川崎重工グループ会社／/横浜／航空宇宙専業メーカーの「経理」／経験者歓迎／年休125/東証プライム上場／川崎重工G／電気設計・年休125日／宇宙機/横浜／品質保証／年休125日／残業15~20h／東証上場川崎,2026-06-14,job-engine-hit
海洋電子工業株式会社,1020001006043,○,求人ボックス,1,第二新卒歓迎 横浜／通信機器の組立 製造／夜勤・転勤無／フレ,2026-06-14,job-engine-hit
株式会社信友建設,1020001007520,○,求人ボックス,3,現場作業員/土木施工管理業務完全週休二日制・マイカー通勤可/2027 新卒採用 建設,2026-06-14,job-engine-hit
株式会社シバックス,1020001008907,○,求人ボックス,3,「横浜」CADオペレーター／WEB面接可／コンセプトカーのデ/神奈川／電装制御設計／ベテラン/自動車の内装,2026-06-14,job-engine-hit
ハーベスト株式会社,1020001010441,○,求人ボックス,25,学校給食調理場での配送/人事労務DX担当/「有資格」栄養士／給食委託／赤塚駅/調理師／介護施設／集団調理経験者歓迎／給食委託会社/調理師／高齢者向け住宅／調理／給食委託会社／年休112日,2026-06-14,job-engine-hit
株式会社明光社,1020001013873,○,求人ボックス,7,公共施設の受付業務/日常清掃／ショッピング施設内/ショッピングセンター内の日常清掃／トイレ清掃あり/施設警備員/オフィスビル日常清掃スタッフ,2026-06-14,job-engine-hit
ジオマテック株式会社,1020001015003,○,求人ボックス,5,2027 新卒採用 半導体・電子・電気機器/業界未経験歓迎／情報システム担当／社内SE／情シス／薄膜技術/横浜・営業 未経験歓迎／文系出身者多数／モノづくりを支える機/情報システム担当／社内 SE／情シス/未経験歓迎!／横浜／法人営業／真空成膜技術・製造業向け薄膜加,2026-06-14,job-engine-hit
レーザーテック株式会社,1020001022180,○,求人ボックス,20,社内SE／DX領域／世界シェア100%製品保有/第二新卒歓迎／機械設計・世界シェア100%製品保有／世界の半/第二新卒歓迎／電気設計・世界シェア100%製品保有／世界の半/「社内SEアプリ」ERPシステム企画・導入・運用リーダー 平/第二新卒歓迎／光学エンジニア世界シェア100%製品保有／世界,2026-06-14,job-engine-hit
株式会社ＫＳＰ,1020001026487,○,求人ボックス,25,施設警備／警備員／案内・受付 未経験からしっかりサポート テ/病院の夜間警備員／病院の受付警備で簡単!ほぼ座っている仕事で/駐車場の警備員/大型商業施設でのモニター監視・各種対応／PC作業はフォーマッ/ATMコーナー等の臨時警備員,2026-06-14,job-engine-hit
株式会社宇徳,1020001025489,○,求人ボックス,4,2027 新卒採用 物流・倉庫/自動車整備士・メカニック／日曜休み／寮・社宅/設備保全・メンテナンス作業員/重量工・機械搬入据付工,2026-06-14,job-engine-hit
ソルブ株式会社,1020001027295,○,求人ボックス,15,未経験OK 10年連続黒字の安定性 最適な医療機器の提案営業/柔道整復師／管理／柔道整復師／鍼灸師／国資学生／柔道整復/鍼灸接骨院運営業務および付随業務／交通費支給／20〜30代活/鍼灸接骨院運営業務・付随業務全般／月収30万以上可／未経験歓/鍼灸接骨院運営業務および付随業務／ブランクOK／未経験歓迎／,2026-06-14,job-engine-hit
株式会社日商物産,1020001028194,○,求人ボックス,2,ルート配送スタッフ/食に興味がある方歓迎業務用食器の「法人営業」／年休122日,2026-06-14,job-engine-hit
株式会社ホンマ,1020001028855,○,求人ボックス,4,未経験OK!コンテナチェックスタッフ／資格取得でキャリアUP/横浜市／営業／要望のヒアリング・予算の提案など 職種未経験可/中型トラック運転手／廃棄物の収集・運搬作業 昇給・賞与あり /電気工事スタッフ／経験者優遇／土日休み／第二種または第一種電,2026-06-14,job-engine-hit
ＡＬＳＯＫ神奈川株式会社,1020001030159,○,求人ボックス,8,施設警備スタッフ/障害者採用／警備職／川崎市／みなとみらい／平塚市/ALSOK「警備輸送」お客様の大切な財産を輸送する／15期連/ALSOK受付スタッフ 週2～3日からOK/未経験OK!簡単な受付業務スタッフ 東証プライム上場企業グル,2026-06-14,job-engine-hit
株式会社アルテサロンホールディングス（閉鎖）,1020001033236,,,,,2026-06-14,not-found
株式会社ティー・アール・シー,1020001033203,○,求人ボックス,1,IT業務にも携われる オフィス運営サポート,2026-06-14,job-engine-hit
株式会社エスシーサポート,1240001047429,,,,,2026-06-14,not-found
シンカ株式会社,1290001001769,○,求人ボックス,8,プロジェクトマネージャー／Webマーケティング・ネット広告/福岡市／電気工事施工管理／急成長企業「電気・通信のインフラを/東京近郊／会計パッケージシステムの設計・開発・テスト／残業1/警備スタッフ／有給付与で”収入そのまま”長期休みも心配なし /住宅手当あり 安定感バツグンの九州大手で電気工事士を募集,2026-06-14,job-engine-hit
株式会社ニシコー,1290001009498,○,求人ボックス,10,九電グループ／ニシコー／土木施工管理/鋼構造物の施工管理／須恵鉄工センター/建築技術/2027 新卒採用 設備工事・設備設計/福岡／須恵鉄工センター 鋼構造物の設計業務他 転勤／夜勤無／,2026-06-14,job-engine-hit
株式会社インフォグラム,1290001011611,○,求人ボックス,4,システムエンジニア/システムエンジニア・プログラマー／正/システムエンジニア・プログラマー／正／未経験/2027 新卒採用 ソフトウエア,2026-06-14,job-engine-hit
株式会社医療事務サービス,1290001011660,,,,,2026-06-14,not-found
株式会社キューオキ,1290001012337,,,,,2026-06-14,not-found
九州総合サービス株式会社,1290001012411,○,求人ボックス,3,データ入力、タイピング PC・パソコン・インターネット、一般/月収26万以上／夜勤あり／重量物の搬入を伴う大型印刷オペレー/一般事務職、データ入力、タイピング PC・パソコン・インター,2026-06-14,job-engine-hit
建設サービス株式会社,1290001012989,○,求人ボックス,2,施工管理のお仕事しませんか/交通費支給あり!完全土日祝休み!未経験OK! 土木作業員／福,2026-06-14,job-engine-hit
福岡センコー運輸株式会社,1290001019349,○,求人ボックス,16,伝票仕分け事務作業スタッフ/フォークリフト 未経験OK／女性も活躍中／50年以上連続で賞/近距離メインのトラックドライバー/ドライバー／福岡県内のみの完全地場配送!／スーパーへ食品を配/4t車ドライバー／月40万も目指せる・賞与年2回・未経験OK,2026-06-14,job-engine-hit
ＪＲ九州商事株式会社,1290001019794,○,求人ボックス,1,社会課題を解決新しい物流の形・鉄道荷物輸送を支える「事務」,2026-06-14,job-engine-hit
株式会社ジェイウェイブ,1290001020686,○,求人ボックス,2,人気商品のシール貼り作業／社員登用あり／髪型自由/軽い製品の検品・検査スタッフ,2026-06-14,job-engine-hit
株式会社オービット,1290001020645,○,求人ボックス,4,出雲市／未経験歓迎／機械加工オペレーター 年休110日／日勤/ホール／イベコン／イベントスタッフ 実習や課題と両立 1日2/コンパニオン/福岡／ルート営業／官公庁向け,2026-06-14,job-engine-hit
イワタニ九州株式会社,1290001024695,○,求人ボックス,1,仕事もプライベート充実させたい方必見「事務職」年休124日,2026-06-14,job-engine-hit
株式会社ＩＮＧ・ワールド,1290001026378,○,求人ボックス,1,福岡市周辺／定期清掃／日勤,2026-06-14,job-engine-hit
株式会社アカシヤビルサービス,1430001000384,○,求人ボックス,1,有料老人ホームの共用部清掃,2026-06-14,job-engine-hit
岡本興業株式会社,1430001003222,○,求人ボックス,1,即日勤務OK 正社員登用有,2026-06-14,job-engine-hit
株式会社開発工営社,1430001003528,○,求人ボックス,2,建設・不動産、コンサルティング・シンクタンク・士業／建設コン/札幌市／建設コンサルタント／未経験歓迎 年間休日120日 ワ,2026-06-14,job-engine-hit
株式会社清風堂,1430001008691,○,求人ボックス,1,平日のみのオフィスビル日常清掃スタッフ,2026-06-14,job-engine-hit
株式会社シムス,1430001009847,○,求人ボックス,3,福祉施設内の清掃スタッフ/月面探査分析装置のエンジニア 宇宙開拓を加速させる、世界初へ/”土・日・祝休み&未経験歓迎”配送ドライバー／土日祝休み×1,2026-06-14,job-engine-hit
株式会社ミライト・モバイル・イースト,1430001012727,○,求人ボックス,3,知識ゼロからOK通信インフラの「管理スタッフ」／賞与5ヵ月も/施工管理職／未経験OK・現場対応あり/施工管理事務／事務・進捗管理メイン,2026-06-14,job-engine-hit
北菱産業埠頭株式会社,1430001015614,○,求人ボックス,13,清掃 短時間OK 学校清掃アルバイト 家事の合間の午前中お仕/清掃／サービス系／軽作業・物流系 短時間OK 学校清掃アルバ/清掃／ビル管理／サービス系 ビル内の清掃STAFF 1日4時/清掃 未経験 シニア活躍中 1日4h~OK 施設内の清掃ST/清掃／ビル管理／サービス系 ミドル·シニア層活躍中 ビル共有,2026-06-14,job-engine-hit
株式会社アークス,1430001018377,○,求人ボックス,25,一級建築・土木施工管理技士／あなたの経験が会社の力になります/「「すごいベンチャー100」選出企業!医療系スタートアップ×/看護業務／施設内訪問看護／有料老人ホーム内／週休二日制／駅近/AIリードエンジニア／AI・機械学習エンジニア／東京都／渋谷/「「すごいベンチャー100」選出企業!医療系スタートアップ／,2026-06-14,job-engine-hit
株式会社アインホールディングス,1430001020787,○,求人ボックス,15,社内SE／都営大江戸線代々木駅から徒歩3分／社内SE／渋谷区/新宿／在宅週2可／ユーザー向けアプリの企画 運用／SIer歓/新宿／在宅週2可／社内SE プラットフォームの企画・運用／残/登録販売者／相模原市南区／小田急小田原線 相模大野駅／神奈川/新宿／在宅週2可／社内SE PMクラス／自社アプリ企画等／残,2026-06-14,job-engine-hit
マックスバリュ北海道株式会社（閉鎖）,1430001020267,,,,,2026-06-14,not-found
日本ニューホランド株式会社,1430001021026,○,求人ボックス,25,営業／日本ニューホランド株式会社八雲営業所/北海道／天北／総合職・農業機械の整備・点検担当／土日祝休み／/北海道／標茶／総合職・農業機械の整備・点検担当／土日祝休み／/東筑摩郡朝日村×サービスエンジニア ただ販売するのではなく、/北海道／中標津／総合職・農業機械の整備・点検担当／土日祝休み,2026-06-14,job-engine-hit
株式会社ユニテック,1430001021645,○,求人ボックス,25,新技術の開発要員を募集/業務システム開発エンジニア／web系SE・PG／都営大江戸線/開発エンジニア／東京都／江東区／ネットワーク保守運用・監視／/大手町／インフラ／社内SE 社内ヘルプデスク・PCキッティン/インフラエンジニア／東京都／サーバーエンジニア,2026-06-14,job-engine-hit
ＡＬＳＯＫ北海道株式会社,1430001021959,○,求人ボックス,24,ALSOKの事務 札幌本社/技術職／「電気系技術職」札幌市/技術職／電気系技術職/2027新卒採用／セキュリティシステムの設計・施工・管理/技術職／「電気系技術職」苫小牧市,2026-06-14,job-engine-hit
株式会社北海道日立,1430001022461,○,求人ボックス,2,札幌／大通駅直結／開発SE 年休126日／賞与6.6か月分／/開発SE 経験者 賞与6.6か月分 完全週休二日,2026-06-14,job-engine-hit
株式会社北海道ダイケン,1430001022180,○,求人ボックス,1,ビルの設備管理／未経験歓迎／賞与年3回／資格取得支援有,2026-06-14,job-engine-hit
株式会社エコミック,1430001023947,○,求人ボックス,6,要相談/人事・労務 アウトソーシング・オペレーションマネージャー・リ/第二新卒・既卒向け総合職/27新卒 総合職/新卒総合職,2026-06-14,job-engine-hit
中道リース株式会社,1430001024094,,,,,2026-06-14,not-found
株式会社プライムツーワン,1430001026974,○,求人ボックス,4,株式会社プライムツーワンの保育士求人・採用情報正社員/認可保育園での保育士／北海道札幌市豊平区/正看護師准看護師/保育園／認可保育園／認可保育園／福利厚生／年間休日125日,2026-06-14,job-engine-hit
セントラルリーシングシステム株式会社,1430001024268,○,求人ボックス,19,清掃／客室清掃／サービス系 海が見えるホテル／15時終業 未/はぼろ温泉サンセットプラザで働く「ホテルスタッフ」/千歳ステーションホテルで働く「フロントスタッフ」/はぼろ温泉サンセットプラザで働く「調理スタッフ」/経験者が活躍できる環境がここに魅力たっぷりの「調理師」,2026-06-14,job-engine-hit
ビットスター株式会社,1430001037773,○,求人ボックス,5,Webディレクター／システムインテグレータ・ソフトハウス/ITソリューション営業 北海道在住限定・IターンUターン歓迎/システムエンジニア／システムインテグレータ・ソフトハウス/セールスエンジニア 北海道在住限定! IターンUターン歓迎/2027 新卒採用 ソフトウエア,2026-06-14,job-engine-hit
北燃商事株式会社,1430001046650,○,求人ボックス,2,土日祝休みの一般事務スタッフ/家電製品・住宅設備機器の修理・取付スタッフ,2026-06-14,job-engine-hit
馬淵建設株式会社,1430001046675,○,求人ボックス,17,施工管理/建築施工管理/土木施工管理/横浜／土木施工管理・経験者向け 年休126日 土日祝／出張・/横浜／建築施工管理 1人1現場×複数名体制 土日祝休／転勤無,2026-06-14,job-engine-hit
北海道ガソン株式会社,1430001049752,,,,,2026-06-14,not-found
株式会社第一岸本臨床検査センター,1430001055197,○,求人ボックス,6,事務作業スタッフ/ルート回収スタッフ/検体管理スタッフ/医療系産業廃棄物運搬スタッフ/技術営業職 環境検査・食品検査,2026-06-14,job-engine-hit
株式会社南組,1430001055619,○,求人ボックス,4,津市／未経験歓迎／土木施工管理・転勤なし／最新テクノロジーで/建築・土木／搬入・荷揚げ／機械オペレーション 底辺と言わせな/現場監督見習い兼現場作業員/土木施工管理補助 資格取得補助制度有,2026-06-14,job-engine-hit
日鋼室蘭サービス株式会社,1430001057045,,,,,2026-06-14,not-found
株式会社三井Ｅ＆Ｓ　ＤＵ,1010001230569,○,求人ボックス,2,船のエンジン生産に携わる技術スタッフ/上場企業の「技術系総合職」年間休日127日」賞与平均6.79,2026-06-14,job-engine-hit
株式会社シマブンコーポレーション,1140001003508,○,求人ボックス,20,法人営業 創業110年超/障害者雇用／事務職/障害者雇用／製造スタッフ/東京／丸の内・未経験歓迎／法人営業 鉄スクラップ／創業110/広島・呉市／転勤なし／法人営業 鉄鋼関連製品／創業110年超,2026-06-14,job-engine-hit
株式会社ナガサワ文具センター,1140001009777,○,求人ボックス,1,ノベルティ制作アシスタント・デザイナー,2026-06-14,job-engine-hit
