企業名,法人番号,採用中,発見媒体,求人件数,採用職種,取得日,根拠
株式会社ザイマックス九州,1290001062968,○,求人ボックス,4,福岡勤務! プロパティマネジメント 年休120日/電気主任技術者/プロパティマネジメント／オフィスビル／土日祝休み/施工管理 電気 「1級電気工事施工管理技士」／正社員 福岡,2026-06-14,job-engine-hit
エイジス九州株式会社,1290001100091,○,求人ボックス,2,ディスカウントストアでの軽作業スタッフ/大阪 アルバイト管理 第二新卒歓迎／棚卸業界国内シェア8割・,2026-06-14,job-engine-hit
東洋警備保障株式会社,1290801002636,○,求人ボックス,4,老舗企業で働く様々な印刷物・販促物を扱う「広告企画営業」/駅チカ／景気に左右されないセキュリティスタッフ／面接1回／第/交通誘導スタッフ／40代活躍中／安定の8h勤務／週1～／直行/老舗企業で働く!様々な印刷物・販促物を扱う 広告企画営業,2026-06-14,job-engine-hit
ＪＲ九州サービスサポート株式会社,1290801005366,○,求人ボックス,6,ホテル清掃/病院内の清掃スタッフ/病院内清掃スタッフ/清掃スタッフ/ホテルの客室清掃,2026-06-14,job-engine-hit
九州美装株式会社,1290801009128,○,求人ボックス,2,清掃 未経験歓迎 16時退社 中高年·シニアも活躍中 病院清/清掃／医療・介護・福祉系／サービス系 未経験スタート大歓迎 ,2026-06-14,job-engine-hit
安全警備株式会社,1290801009573,○,求人ボックス,3,マンションの夜間警備／未経験無資格OK／西神中央駅スグ／制服/私服警備員スタッフ,2026-06-14,job-engine-hit
鉄鋼処理産業株式会社,1290801012296,○,求人ボックス,1,構内作業員,2026-06-14,job-engine-hit
株式会社アスモフードサービス東日本,1430001072317,○,求人ボックス,24,調理・給食スタッフ/給食委託会社でのエリアマネージャー/給食委託会社での準マネージャー職/高齢者施設の調理業務/有料老人ホームでの調理,2026-06-14,job-engine-hit
函館環境衛生株式会社,1440001001621,,,,,2026-06-14,not-found
株式会社コンピューター・ビジネス,1450001001133,○,求人ボックス,1,プログラマ,2026-06-14,job-engine-hit
環境コンサルタント株式会社,1460001000241,○,求人ボックス,1,各調査技術スタッフ,2026-06-14,job-engine-hit
東洋株式会社,1460101001189,○,求人ボックス,14,バス運転士／大型バス/認定整備工場での整備士／賞与年2回／中高年世代も活躍中/介護福祉士／介護職員・ヘルパー／寮あり／サービス付き高齢者専/介護福祉士／サービス提供責任者／訪問介護事業所／日勤のみ/「東京」事業用不動産の期中管理業務担当／残業月平均20時間／,2026-06-14,job-engine-hit
北海道道路保全株式会社,1460101001627,,,,,2026-06-14,not-found
桑原電装株式会社,1460301000346,○,求人ボックス,2,作業員／未経験OK／社会保険完備/大手通信キャリアのショップスタッフ,2026-06-14,job-engine-hit
株式会社三共後藤建設,1460301001253,○,求人ボックス,1,建築施工管理／2級建築施工管理技士,2026-06-14,job-engine-hit
地崎商事株式会社,2430001010424,○,求人ボックス,6,ガソリンスタンドスタッフ／未経験OKENEOS特約店／賞与年/ガソリンスタンドスタッフ／ENEOS／賞与年3回・休日120/ガソリンスタンドの店舗社員/エネオスのガソリンスタンドスタッフ/ENEOSガソリンスタンドスタッフ・接客販売,2026-06-14,job-engine-hit
株式会社日総,2430001012643,○,求人ボックス,24,"札幌／庶務 リーダークラス／給食委託の道内パイオニア／安定基/集団調理・ケータリング, 給食・社員食堂・介護・病院／その他/集団調理・ケータリング, 給食・社員食堂・介護・病院／スーパ/調理師／介護施設／調理／賞与年2回／残業代別途支給/調理師／福祉施設／調理／月9日休み／賞与年2回",2026-06-14,job-engine-hit
ライラック興業株式会社,2430001018120,○,求人ボックス,2,札幌／水質検査スタッフ 公共インフラを担う事業で安定性抜群／/土日祝休みの電話受付・伝票作成スタッフ,2026-06-14,job-engine-hit
株式会社札幌映像プロダクシヨン,2430001019622,,,,,2026-06-14,not-found
日本山村硝子株式会社,1140001054947,○,求人ボックス,10,ガラスびんの製品切替えや機械保全/ガラスびんの生産オペレーター／「工場内の生産オペレーター」未/相模原／未経験歓迎／製造スタッフ 東証上場 ガラス瓶国内シェ/横浜市／研究開発 光学レンズ／光学薄膜の設計／ガラスびん国内/誰もが知る有名メーカーのガラスびんを手がける「製造スタッフ」,2026-06-14,job-engine-hit
永井産業株式会社,1140001060318,,,,,2026-06-14,not-found
ハリマ共和物産株式会社,1140001060846,○,求人ボックス,12,姫路／転勤無し／総務 社内規定の改定・株主総会の運営等／人財/姫路／転勤無し／経理・財務 サブマネージャー候補／大手チェー/姫路／人事全般／キャリアアップ志向歓迎 創業100年超×上場/検品／品出し／軽作業・物流系 新センター 週3日~OKの簡単/品出し／検品／軽作業・物流系 久しぶりのパート も安心 主婦,2026-06-14,job-engine-hit
株式会社ワンステップ,1140001062280,○,求人ボックス,10,未経験から始められる不動産事務/未経験活躍! 反響営業の賃貸不動産ルームアドバイザー/介護職員・ヘルパー／介護福祉士／デイサービス／日勤のみ／土日/相模原市中央区 放課後等デイサービスの保育士／複数園あり／駅/理学療法士・PT「7月急募」／介護施設／デイサービス／常勤／,2026-06-14,job-engine-hit
新明和ソフトテクノロジ株式会社,1140001069045,○,求人ボックス,25,ヘルプデスク/「兵庫県西宮市／インフラエンジニア」G全体のIT基盤を支える/「神奈川県寒川町／システム運用保守」特装車製造を支えるITシ/栃木県佐野市／システム運用保守／システム運用・保守／ヘルプデ/「神奈川県川崎市／SE PL候補」製造業向けシステム開発をリ,2026-06-14,job-engine-hit
株式会社ジオテクノ関西,1140001068971,○,求人ボックス,2,兵庫西宮／経理職「管理職候補ポジション」業務改善や体制作りに/データ入力、タイピング PC・パソコン・インターネット、CA,2026-06-14,job-engine-hit
株式会社ＮＥＯ　ＤＡＩＳＥＩ,1140001077898,○,求人ボックス,1,姫路事業所 道路メンテナンスの施工管理,2026-06-14,job-engine-hit
トレスエンジニアリング株式会社,2100001015489,○,求人ボックス,1,電気工事作業員 高卒以上・職務経験・資格不問,2026-06-14,job-engine-hit
株式会社山本清掃,2130001011948,,,,,2026-06-14,not-found
株式会社ジェイ・エス・ビー,2130001017499,○,求人ボックス,20,調理スタッフ／高齢者施設／賞与あり/調理責任者／食事付き学生マンション／土日祝休み/調理業務／高齢者住宅の厨房サポート業務／主婦さん活躍中/学生向け住宅施設のパンフレット配布業務/調理補助／食事付き学生マンション／土日祝休み,2026-06-14,job-engine-hit
株式会社地域計画建築研究所,2130001018043,○,求人ボックス,1,神田／都市計画・まちづくりコンサルタント／管理職候補／転勤無,2026-06-14,job-engine-hit
株式会社演算工房,2130001020098,○,求人ボックス,14,AIエンジニア・データサイエンティスト/京都・下京区／AIシステム開発エンジニア パッケージ開発／機/京都・下京区／三次元点群解析ソリューション開発エンジニア パ/AIシステム開発エンジニア／機械学習開発経験お持ちの方歓迎／/三次元点群解析ソリューション開発エンジニア／世界的にも高いシ,2026-06-14,job-engine-hit
株式会社トーセ,2130001030304,○,求人ボックス,21,VFXアーティスト/八王子／社内SE インフラ担当／年休125日／平均残業25H/八王子／組み込みエンジニア・9割エンジニア・生涯エンジニア目/八王子／プライム上場東京精密G「WEBアプリケーション開発」/ポテンシャル採用／八王子／組み込みエンジニア 半導体製造装置,2026-06-14,job-engine-hit
株式会社関東甲信クボタ,1030001072877,○,求人ボックス,3,さいたま市／建築施工管理／クボタG 安定基盤／月3週は土日休/「総合職 」毎週日曜休み+土曜休み月平均2回以上/2027 新卒採用 商社／機械・プラント・環境,2026-06-14,job-engine-hit
株式会社バッファロー,1030001076804,○,求人ボックス,10,情報システム導入・運用保守/「名古屋」知的財産管理/丸の内／フィールドエンジニア ネットワーク／自社勤務／東証ス/丸の内／インフラエンジニア ネットワーク／BPO／自社勤務／/SE,2026-06-14,job-engine-hit
関東建設マネジメント株式会社,1030001098427,○,求人ボックス,1,「関東圏内」国道の道路許認可審査・適正化指導業務発注者支援業,2026-06-14,job-engine-hit
朝日アグリア株式会社,1030001135964,○,求人ボックス,4,しっかり稼げる 製造スタッフ／賞与年2回 03／069/肥料の製造スタッフ／賞与年2回／地域手当・職種手当・食事補助/夕方まで 肥料の製造スタッフ／賞与年2回 02／069/肥料製造及び設備の維持管理,2026-06-14,job-engine-hit
株式会社ＤＮＰデータテクノ,1050001028118,,,,,2026-06-14,not-found
朝日工業株式会社,2013301000418,○,求人ボックス,8,土木工事関連 作業員/東京／構造設計／鉄筋の検定など 創業90年超の安定性 インフ/成型・準備作業者/成型技能/製造オペレーター／ほぼ全員が未経験スタート／日勤／土日祝休み,2026-06-14,job-engine-hit
日本環境クリアー株式会社,2030001006446,○,求人ボックス,1,院内の清掃スタッフ,2026-06-14,job-engine-hit
ビソー工業株式会社,2030001007106,○,求人ボックス,3,清掃作業／未経験OK／年齢不問／中高年活躍中/現場管理、書類作成業務/完全土日祝休み!ハウスクリーニング事業部の営業!しっかりサポ,2026-06-14,job-engine-hit
株式会社サイオー,2030001012551,○,求人ボックス,2,公共施設での常駐設備管理/巡回設備管理スタッフ,2026-06-14,job-engine-hit
株式会社ビクセン,2030001024877,,,,,2026-06-14,not-found
株式会社鴨川グランドホテル（閉鎖）,1040001074815,,,,,2026-06-14,not-found
株式会社ミック,2011101020553,○,求人ボックス,25,建築・土木現場での施工管理/札幌「MAC」／ソフトウェア／パッケージベンダ/MMC PM「名古屋」／ソフトウェア／パッケージベンダ/データ入力・タイピング／オシャレ放題PCスキル不問・事務デビ/MMC 開発エンジニア「名古屋」／ソフトウェア／パッケージベ,2026-06-14,job-engine-hit
株式会社エイド,2040001000836,○,求人ボックス,11,実務者研修／介護職員・ヘルパー／賞与4.35ヶ月分／訪問介護/カウンセラー／快適なクリニック内／未経験OK／医療業界で安定/看護師／「大阪府／大阪市東住吉区」月収29万円～・マイカー通/訪問介護の介護職／介護福祉士／介護士／日勤のみ/ケアマネージャー／交通費支給／夜勤なし／定年65歳／ヘルパー,2026-06-14,job-engine-hit
株式会社京葉ビル管理,2040001019257,,,,,2026-06-14,not-found
株式会社市進ホールディングス,2040001025619,○,求人ボックス,25,個別指導講師/個別指導・オンライン指導/塾・家庭教師／個太郎塾 横浜高田教室/塾・家庭教師／個太郎塾 新中野教室/塾・家庭教師／個太郎塾 浅草教室,2026-06-14,job-engine-hit
株式会社加藤新聞舗,2040001025932,○,求人ボックス,4,マックデリバリー/新聞配達アルバイト,2026-06-14,job-engine-hit
株式会社マツキヨココカラ＆カンパニー,2040001040238,○,求人ボックス,2,品出し ピッキング／ドラッグストア/調剤薬局の薬剤師,2026-06-14,job-engine-hit
加賀ソルネット株式会社,1010001087332,○,求人ボックス,10,東京勤務「法人営業」完全週休二日制 祝年休123日/大阪勤務「法人営業」年休123日 業界大手の東証上場Gr会社/東京／八丁堀／購買 東証プライム上場加賀電子G／IT機器や日/社内Webデザイナー・エンジニア／経験者優遇／在宅可／残業少/東京／八丁堀／貿易業務 東証プライム上場加賀電子G／IT機器,2026-06-14,job-engine-hit
アイティメディア株式会社,1010001092299,○,求人ボックス,16,年間休日122日／第二新卒歓迎／リモート可／東証プライム上場/プロジェクトマネージャー／フロントエンド領域／リモート中心／/財務経理部責任者候補「自社メディア／プライム上場／ソフトバン/フルリモート／制作進行管理 期限付き契約社員／国内最大級メデ/東京／法務担当 リーダー候補／プライム市場上場企業のを牽引 ,2026-06-14,job-engine-hit
株式会社三友システムアプレイザル,1010001094048,○,求人ボックス,2,フリーランス・働き方自由・不動産の調査員募集/不動産調査スタッフ／第二部／書類作成と顧客対応を両立／年間休,2026-06-14,job-engine-hit
グローウィン・パートナーズ株式会社,1010001094857,○,求人ボックス,25,未経験から次世代の経営人材へ／GWP 会計×ITで企業の変革/「未経験者歓迎」M&Aアドバイザー/M&Aアドバイザー/東京／クロスボーダーM&A・コンサルティング・海外事業戦略に/マーケティング・オペレーションズMOps／データストラテジス,2026-06-14,job-engine-hit
株式会社ケンツー,1010001098247,○,求人ボックス,13,一般事務・営業事務/サービスエンジニア・サポートエンジニア/三重・和歌山 ケーブルテレビ・スマホショップでの接客業務/未経験コールセンタースタッフ／問い合わせ対応/千里中央／ATMオートフォンに関するカスタマーサポート／未経,2026-06-14,job-engine-hit
日鉄物流株式会社,1010001098619,○,求人ボックス,12,カムバック採用名古屋支店/日本橋／リモート可／社内SE システムの改善やDX推進をお任/福岡／機工・施工管理部門 設備／研修や福利厚生 夜勤なし／寮/運転手・ドライバー/兵庫・姫路／製缶品の企画・設計 フレックス／寮・社宅支援制度,2026-06-14,job-engine-hit
アウトルックコンサルティング株式会社,1010001098759,○,求人ボックス,19,週2回リモート可／自社開発エンジニア／開発言語C#／経営管理/自社プロダクトへのAI機能実装! LLM×エンタープライズ経/プロダクトを技術で進化させる!テスト戦略・品質プロセス設計に/自社製品開発エンジニア／都営浅草線大門駅から徒歩4分／東京都/開発エンジニア／都営浅草線大門駅から徒歩4分／港区／業務系S,2026-06-14,job-engine-hit
株式会社バリューデザイン,1010001101786,○,求人ボックス,16,システムエンジニア「SE」／インターネット／Webサービス・/営業職既存／キャッシュレス×IT領域で顧客の成功に伴走するア/「新規サービス推進」未経験から事業づくりに関わる企画・調整ポ/自社プロダクトUI／UX・Webデザイン／独自Pay 約13/「企画職」次世代の収益基盤を創る、新規事業の立ち上げポジショ,2026-06-14,job-engine-hit
株式会社クロスパワー,1010001103634,○,求人ボックス,1,AWS・アプリ・フルスタック・／最大4か月研修／AWS未経験,2026-06-14,job-engine-hit
サインポスト株式会社,1010001107305,○,求人ボックス,19,ITコンサルタント／東証スタンダード上場／金融×DX／残業少/新潟市中央区／DXコンサルタント リーダー／地方企業のDX推/超上流のITコンサルタント／PMO／40代・50代活躍中／7/未経験歓迎／金融機関向け「ITコンサルタント」残業月平均18/ITコンサルタント／PMO・リーダー候補 金融機関のIT課題,2026-06-14,job-engine-hit
株式会社トライ・アットリソース,1010001107536,○,求人ボックス,25,家庭教師のトライのグループ／バックオフィス業務の経験をつもう/書類の作成事務／家庭教師のトライのグループ／事務経験をつもう/「テストモニター」6月21日実施 日給1万円!大量募集!テス/経験者必見 アパレル品撮影!10～19時で安定就業!制服貸与/試験会場での試験監督補助のお仕事!梅ケ丘駅!翌々週払いOKで,2026-06-14,job-engine-hit
株式会社クマヒラ,1010001108872,○,求人ボックス,19,2027 新卒採用 商社／精密機器/「空間デザイン・設計監理」金融店舗やオフィスの空間プランニン/「社内システム企画」社内ITの管理・運営 DX推進 創業12/広島／フレックス／セキュリティ設備の施工管理 年休124日・/「総務部」「戦略総務」としての社内業務改革・DX推進 創業1,2026-06-14,job-engine-hit
株式会社チームスピリット,1010001116826,○,求人ボックス,23,自社SaaS 東証上場×勤怠管理DX／インフラ経験を生かして/プロダクトマネージャー「新規AIエージェント開発担当PdM」/プロダクトコンサルタント「中小企業向オンボ担当」／インターネ/「セールスエンジニアプリセールス」東証グロース市場上場!／日/「運用支援コンサルタント」エンタープライズSaaS運用サポー,2026-06-14,job-engine-hit
リックソフト株式会社,1010001124218,○,求人ボックス,17,「上場企業で安定就業」給与計算・労務事務スタッフを募集します/クラウドサービスエンジニア／東京都／東京メトロ半蔵門線九段下/クラウドエンジニア／千代田区大手町／東京都／東京メトロ東西線/クラウドサービスエンジニア 運用自動化など業務改善ツールの開/東京／プリセールス・30万社以上導入のITツール リモート可,2026-06-14,job-engine-hit
オフィスコム株式会社,1010001125570,○,求人ボックス,2,ECサイトのカスタマーサポート／販売接客経験行かせるオフィス/情報システム開発エンジニア／総合商社・専門商社,2026-06-14,job-engine-hit
ソフトブレーン株式会社（閉鎖）,1010001132006,,,,,2026-06-14,not-found
株式会社エー・エム・サポート,1010001133763,○,求人ボックス,4,「薬剤師」年収500～550万円 南海バス まんざきバス停／/薬剤師調剤薬局での勤務／橋本市でのお仕事/「薬剤師」年収500～550万円 JR阪和線／調剤薬局／資格/調剤事務／年収280～364万円 年間休日120日×週休2.,2026-06-14,job-engine-hit
株式会社コンステック,1120001108515,○,求人ボックス,24,宮城／構造設計／耐震診断・補強設計/建築施工管理/熊本／建築施工管理 改修／年間休日115日／残業月30時間／/松山／建築施工管理 改修／年間休日115日／残業月30時間／/東京／建築施工管理 改修／年間休日115日／残業月30時間／,2026-06-14,job-engine-hit
ＭＲＫホールディングス株式会社,1120001120362,○,求人ボックス,5,大阪本社／法務担当／上場企業で経験を活かしながら成長 在宅週/大阪／梅田／経営企画「管理職または管理職候補」・在宅勤務推奨/大阪本社／総務 休日126日・土日祝休・残業少 RIZAPグ/経営企画／大阪 在宅勤務週に4回可能／スタンダード上場G企業/総務／大阪 RIZAPグループ／東証スタンダード上場／リモー,2026-06-14,job-engine-hit
株式会社キングプリンターズ,1120001122177,○,求人ボックス,2,製造スタッフ/未経験者大歓迎!印刷会社のバックオフィスの事務スタッフ,2026-06-14,job-engine-hit
株式会社カスタマーリレーションテレマーケティング,1120001123274,○,求人ボックス,25,"コールセンター管理・運営/大阪法人様向け訪問営業 スタンドード上場グループインセンティ/フィールドセールス／賞与あり／急募／未経験OK／土日休み／年/フィールドセールス／交通費支給／年間休日110日／土日休み／/セールス・営業の法人向け,コールセンター管理・運営「SV」・",2026-06-14,job-engine-hit
株式会社イーエフユーアドウィス,1120001129651,○,求人ボックス,1,2027 新卒採用 ソフトウエア,2026-06-14,job-engine-hit
株式会社アクティブゲーミングメディア,1120001139972,○,求人ボックス,2,German Game LQA Tester/ゲームデバッグリーダー「大阪」／ゲーム・エンタメ,2026-06-14,job-engine-hit
株式会社アド近鉄,1120001143421,○,求人ボックス,6,施工管理/建築施工管理/「大阪」駅案内広告物の施工管理 「近鉄グループホールディング/大阪市／駅広告・案内表示の施工管理 未経験OK／直行直帰・フ/名古屋／駅広告・案内表示の施工管理 未経験OK／フレックス／,2026-06-14,job-engine-hit
株式会社エクセディ,1120001147463,○,求人ボックス,22,人事／採用/「インド市場×小型EV」モータ設計開発 電動駆動ユニットのコ/「IR／SR担当」世界トップクラスシェア×第二の創業期 変革/駐在／インド／小型電動商品の設計開発・試験評価 英語活かす／/「インド市場×小型EV」調達・購買 グローバルサプライチェー,2026-06-14,job-engine-hit
株式会社ｅＷｅＬＬ,1120001171257,○,求人ボックス,17,医療事務募集/駅直結／訪問看護医療事務 レセプト作成等／在宅医療DX推進・/東京／日本橋／訪問看護医療事務 レセプト作成等／在宅医療DX/在宅医療領域を支えるお仕事!自社SaaS「訪問看護専用の電子/SaaS型業務支援ツールの提案営業／グロース市場上場の安定成,2026-06-14,job-engine-hit
瀧上工業株式会社,1180001089667,○,求人ボックス,5,2027 新卒採用 金属製品/安全衛生管理／マネージャー候補／東証スタンダード上場／転勤な/安全衛生管理 上場企業×創業130年 年休122日/生産技能/施工管理,2026-06-14,job-engine-hit
ＣＳ警備保障株式会社,1180001101786,○,求人ボックス,1,力仕事ナシで定着率高!高速道路の警備員／早上がりでも日給保証,2026-06-14,job-engine-hit
株式会社はな保育,1180001106348,○,求人ボックス,4,看護師／准看護師募集、年齢不問/園長・保育士募集・ボーナス・賞与あり/看護師 名古屋市立大学医学部附属西部医療センター くさのみ保/認可保育園での保育士,2026-06-14,job-engine-hit
株式会社スリール,1180001105639,○,求人ボックス,11,携帯などの販売サポート・販促スタッフ/介護職員・ヘルパー／介護福祉士／グループホーム／夜勤専従／夜/グループホームの介護職／介護福祉士／介護士／夜勤専従/「言語聴覚士／ST」放課後等デイサービス／年間休日120日以/「管理職 」資格必須／正職員／日勤のみ／グループホーム,2026-06-14,job-engine-hit
名南Ｍ＆Ａ株式会社,1180001116041,○,求人ボックス,1,経験を活かす! M&Aコンサルタント 年俸500万円～,2026-06-14,job-engine-hit
名鉄交通第四株式会社,1180001120646,○,求人ボックス,11,入社祝い金 正社員のタクシードライバー／好待遇/タクシーアプリGO搭載のタクシードライバー 夜勤／中小田井駅/タクシーアプリGO搭載のタクシードライバー 日勤／中小田井駅/タクシードライバー/タクシーアプリGO搭載のタクシードライバー 1勤1休制／中小,2026-06-14,job-engine-hit
株式会社中日ＫＵＢＡＲＵ,1180001151583,○,求人ボックス,1,30～40代・女性も活躍中将来の幹部に「ルート配送・構内作業,2026-06-14,job-engine-hit
株式会社あいちフィナンシャルグループ,1180001153290,,,,,2026-06-14,not-found
ヒューマンズ・ネット株式会社,1021001033060,○,求人ボックス,2,リモート可／サーバーエンジニア 40代活躍中／残業平均17h/組込エンジニア 年休125日・完休2日で働きやすさ,2026-06-14,job-engine-hit
ムラタ計測器サービス株式会社,2020001008096,○,求人ボックス,2,未経験歓迎 戸塚／環境機器の点検・チェック 残業10H・土日/環境×提案力で価値創出 法人営業 年間休日122日／賞与年2,2026-06-14,job-engine-hit
ＪＦＥテクノス株式会社,2020001016727,○,求人ボックス,25,プラント・水門・クレーン等のメンテナンス施工管理/「横浜」クレーンのメンテナンス業務/「横浜」「経験者対象」橋梁のメンテナンス施工管理/横浜／電気設備の施工管理 公共工事／年休126日×土日祝休／/「千葉・成田」電気設備工事における施工計画および施工管理,2026-06-14,job-engine-hit
株式会社サン,1080001001575,○,求人ボックス,3,認可保育園の保育士／小規模保育園／早番パート／駅チカ徒歩2分/総務・法務・人事／事務／PC・データ入力 急募 人事スタッフ/話題の和菓子店の販売スタッフ,2026-06-14,job-engine-hit
株式会社スズキ自販静岡,1080001002284,○,求人ボックス,25,自動車整備士・メカニック／株式会社スズキ自販静岡スズキアリー/自動車整備士・ピットスタッフ／住宅手当／残業手当/自動車整備士・ピットスタッフ/自動車整備士・メカニック/静岡市／営業スタッフ 静岡エリアのお客様に支持されるメーカー,2026-06-14,job-engine-hit
日興美術株式会社,1080001003984,○,求人ボックス,2,浜松／職種未経験可／テクニカルライター・自動車整備士出身者歓/2027 新卒採用 印刷・印刷関連,2026-06-14,job-engine-hit
協和サンシンエンジニアリング株式会社,1080001007894,○,求人ボックス,4,土日祝休み自動制御設計・月25万スタート/プログラム設計技術者・完全週休2日制/電気工事現場監理静岡市清水区で資格取得支援/2027 新卒採用 設備工事・設備設計,2026-06-14,job-engine-hit
德三運輸倉庫株式会社,1080001008810,,,,,2026-06-14,not-found
ヨシコン株式会社,1080001010527,○,求人ボックス,15,不動産企画営業・ディベロッパー／第二新卒歓迎!／スタンダード/不動産企画・不動産開発／社会保険完備／交通費支給／土日祝休み/不動産企画・不動産開発／賞与あり／急募／交通費支給／年間休日/不動産企画・不動産開発/不動産企画・不動産開発／土日祝休み／交通費支給／未経験OK／,2026-06-14,job-engine-hit
日本連合警備株式会社,1080001013224,○,求人ボックス,2,セキュリティスタッフ/日勤パトロール隊員募集!1人でお仕事できます。土日祝のみ 。,2026-06-14,job-engine-hit
臼幸産業株式会社,1080101003959,○,求人ボックス,2,土木施工管理/建築設計／積算職,2026-06-14,job-engine-hit
伊豆総業株式会社,1080101005344,○,求人ボックス,2,三島市の環境美化を支える「ごみ収集車両運転手及び回収作業」/ごみ収集車の運転助手,2026-06-14,job-engine-hit
株式会社東亜ビルサービス,1080101009122,○,求人ボックス,1,短時間で働きやすい!週3回のお掃除の仕事,2026-06-14,job-engine-hit
エンシュウ株式会社,1080401000672,,,,,2026-06-14,not-found
合人社シティサービス株式会社,1240001003308,,,,,2026-06-14,not-found
株式会社水光エンジニア,1240001005122,○,求人ボックス,1,社員ファーストで働きやすさバツグン! メンテナンススタッフ,2026-06-14,job-engine-hit
深川医療器株式会社,1240001017514,○,求人ボックス,1,車椅子等の採寸、販売、修理、福祉用具販売,2026-06-14,job-engine-hit
株式会社大竹山工業所,1240001027240,○,求人ボックス,1,トラック&ダンプドライバー,2026-06-14,job-engine-hit
株式会社アクトシステムズ,1240001029699,○,求人ボックス,3,PM・PL「Web・オープン系」/SE システムエンジニア 医療系パッケージシステムの導入・保/アーキテクト／PM／PL／日本橋 大手リース業界向けシステム,2026-06-14,job-engine-hit
株式会社日本総合科学,1240001032884,,,,,2026-06-14,not-found
株式会社自重堂,1240001033610,○,求人ボックス,9,未経験歓迎／ユニフォーム・ワークウエア提案営業/土日休み／未経験OK／商品受取りパート募集/週休2日／未経験OK／アパレル商品の荷集めパート募集/アパレル商品の入荷商品ケースの受取り、ケース移動/営業,2026-06-14,job-engine-hit
