企業名,法人番号,採用中,発見媒体,求人件数,採用職種,取得日,根拠
シモハナ物流株式会社,1240001036407,○,求人ボックス,25,倉庫内軽作業スタッフ／主婦・主夫活躍中／08:00～17:0/普通免許始める小型ドライバー／賞与年3回／年休119日／業界/ルートドライバー／ルート配送スタッフ 日帰りできる近距離対応/食品のルート配送スタッフ／食品のルート配送スタッフ 月収40/事務職 日勤,2026-06-14,job-engine-hit
五洋医療器株式会社,1240001039582,○,求人ボックス,1,営業事務・一般事務,2026-06-14,job-engine-hit
株式会社パナソニックシステムネットワークス開発研究所,1370001001190,,,,,2026-06-14,not-found
株式会社植松商会,1370001002651,○,求人ボックス,24,法人営業/ルートセールス・渉外・外商/ルートセールス・渉外・外商／急募／土日祝休み／年間休日125/ルートセールス・渉外・外商／交通費支給／ブランクOK／賞与あ/日本のモノづくりを支える商社の「ルート営業」／未経験者OK,2026-06-14,job-engine-hit
シブヤ食品株式会社,1370001003187,○,求人ボックス,3,お弁当の盛り付け・洗浄/お弁当配送／販売/お弁当配送／配達・配送・デリバリー,2026-06-14,job-engine-hit
葵工業株式会社,1370001004540,○,求人ボックス,1,空調設備工事スタッフ,2026-06-14,job-engine-hit
オリックスレンタカー・カメイ株式会社,1370001007493,○,求人ボックス,25,総務経理事務/店舗スタッフ／オリックスレンタカー津軽海峡フェリー函館ターミ/店舗スタッフ山形空港店/レンタカー店舗スタッフ新青森駅前りんご店/店舗受付・接客スタッフ三陸宮古駅前店,2026-06-14,job-engine-hit
株式会社セント,1370001008806,○,求人ボックス,19,介護福祉士／介護職員・ヘルパー／週休2日／有料老人ホーム／日/介護福祉士／介護職員・ヘルパー／研修体制充実／看護小規模多機/ITコンサルタント「未経験歓迎」／ITコンサルティング/介護福祉士／介護職員・ヘルパー／賞与年2回／訪問入浴事業所／/介護福祉士／サービス提供責任者／賞与年2回／訪問介護事業所／,2026-06-14,job-engine-hit
テスコ株式会社,1370001009259,○,求人ボックス,25,未経験歓迎!食品工場内での排水処理スタッフ/「兵庫」舶用機器のサービス工事コーディネーター工程管理・手配/「兵庫」舶用製品のフィールドサービスエンジニア未経験歓迎/新横浜／産業用X線画像の解析 将来的には開発職もお任せ／残業/「神戸」社内SEIT化推進グローバル人材～将来、海外勤務の可,2026-06-14,job-engine-hit
同和興業株式会社,1370001009416,○,求人ボックス,1,2027 新卒採用 ビル施設管理・メンテナンス,2026-06-14,job-engine-hit
株式会社東北朝日プロダクション,1370001011371,○,求人ボックス,1,経験者歓迎／「ディレクター／TV番組の企画構成・取材・編集／,2026-06-14,job-engine-hit
日本製紙石巻テクノ株式会社,1370301000974,,,,,2026-06-14,not-found
宮城中央ヤクルト販売株式会社,1370801000276,○,求人ボックス,7,保育所・職場見学も実施中!安心の収入補償制度あり 扶養を超え/ヤクルト商品のお届けスタッフ／主婦・主夫活躍中／09:00～/ヤクルトの販売・配達スタッフ／主婦・主夫活躍中／09:00～/ヤクルト販売スタッフ 子育てママ活躍中!土日祝休み!ノルマな/ヤクルトスタッフ,2026-06-14,job-engine-hit
株式会社ひまわり,1370601003025,○,求人ボックス,22,介護福祉士／介護職員・ヘルパー／訪問介護事業所／日勤のみ/介護福祉士／サービス提供責任者／訪問介護事業所／日勤のみ/不動産会社の営業事務スタッフ／駅チカで通いやすい／不動産経験/介護福祉士／生活支援員／研修体制充実／共同生活援助／日勤のみ/介護福祉士／管理者／施設長／ホーム長／賞与2ヶ月分／デイサー,2026-06-14,job-engine-hit
宮城熊さん株式会社,2370001002378,○,求人ボックス,1,発送作業兼配送ドライバー,2026-06-14,job-engine-hit
東北放送株式会社,2370001002452,,,,,2026-06-14,not-found
ユキグニファクトリー株式会社,1010001185037,○,求人ボックス,25,マッシュルームの生産／食品工場／大型免許・車両系建設機械免許/新潟南魚沼／きのこの機能性研究開発・特許申請経験歓迎／プライ/きのこメーカーの「営業」 直行直帰可 福利厚生 未経験歓迎/きのこメーカーの「生産開発職」／未経験者歓迎／残業月5h程度/仙台／きのこの法人営業・プライム上場／直行直帰・リモート可／,2026-06-14,job-engine-hit
ラミコジャパン株式会社,1110001003295,○,求人ボックス,20,パチンコ店・開店前の清掃/ケアマネジャー／車通勤可／介護兼務なし／居宅介護支援事業所／/パチンコ店の開店前清掃スタッフ／長野県中野市/アミューズメント施設の清掃スタッフ／平日のみ・土日のみOK／/福祉用具貸与／販売の福祉用具専門相談員／未経験可／賞与あり,2026-06-14,job-engine-hit
株式会社トップカルチャー,1110001003592,○,求人ボックス,1,28卒 ／ オープン・カンパニー&キャリア教育等,2026-06-14,job-engine-hit
株式会社新潟電装,1110001003956,○,求人ボックス,1,納品・回送 ドライバー／社会保険加入・有給取得推奨,2026-06-14,job-engine-hit
ＵＤトラックス新潟株式会社,1110001007255,○,求人ボックス,23,自動車整備士・メカニック／UDトラックス新潟株式会社三条支店/三条市／自動車整備担当 基本土日祝休み／残業月平均20時間／/長岡市／自動車整備担当 基本土日祝休み／残業月平均20時間／/大型自動車会社での鈑金塗装業務／鈑金塗装経験必須/新潟市／自動車整備担当 基本土日祝休み／残業月平均20時間／,2026-06-14,job-engine-hit
共栄エンジニアリング株式会社,1110001012362,○,求人ボックス,10,手厚い教育体制で安心「営業」完全週休2日制・福利厚生充実/手厚い教育体制で安心「総務経理」完全週休2日制・福利厚生充実/製造部門での「外注管理業務」/試作品の「検査員」／完全週休二日制／福利厚生充実／経験者募集/「検査／測定」／完全週休二日制／福利厚生充実／管理職候補採用,2026-06-14,job-engine-hit
森井紙器工業株式会社,1110001016140,○,求人ボックス,1,2027 新卒採用 紙・パルプ,2026-06-14,job-engine-hit
株式会社大原鉄工所,1110001022254,○,求人ボックス,2,新潟／株式会社大原鉄工所:環境プラント・リサイクルプラントの/株式会社 大原鉄工所／営業 環境部門／新潟県 長岡市,2026-06-14,job-engine-hit
越後交通株式会社,1110001022221,○,求人ボックス,4,バスドライバー／二種免なし/新潟／長岡／整備士 創業110年超の安定性 地域支える公共交/未経験歓迎 新潟／長岡／事務総合職 創業110年超の安定性 /バスドライバー／大型二種,2026-06-14,job-engine-hit
株式会社太陽工機,1110001022782,○,求人ボックス,23,新潟／株式会社太陽工機:社内システムエンジニア/「サービスエンジニア／新潟」国内シェアトップクラス／工作機械/「サービスエンジニア／名古屋」国内シェアトップクラス／工作機/新潟／生産加工技術 立形研削盤のパイオニア／DMG森精機グル/「サービスエンジニア／大阪」国内シェアトップクラス／工作機械,2026-06-14,job-engine-hit
中越運送株式会社,2110001003294,○,求人ボックス,8,倉庫作業／事務スタッフ/企業向けエリア配送の4tトラックドライバー／「再配達ナシで土/フォークリフトオペ／未経験者も歓迎／業界大手企業の正社員／週/中型ドライバー／日勤&近距離のみ／未経験OK／週休2日制／大/中型ドライバー／年間賞与83万円／日勤&近距離／未経験OK／,2026-06-14,job-engine-hit
株式会社グリーン美装,1100001000855,,,,,2026-06-14,not-found
東京法令出版株式会社,1100001002125,,,,,2026-06-14,not-found
株式会社ナガレイ,1100001001333,,,,,2026-06-14,not-found
長野リネンサプライ株式会社,1100001002554,○,求人ボックス,2,100年企業を目指して! 安定した事業基盤と、充実した福利厚/未経験歓迎／リネン類の配送ドライバー／普通自動車免許AT必須,2026-06-14,job-engine-hit
株式会社長野ナブコ,1100001002471,○,求人ボックス,1,長野県の「建物の顔」を守り、AIには真似できない価値を,2026-06-14,job-engine-hit
八十二リース株式会社,1100001002835,○,求人ボックス,2,2027 新卒採用 リース・レンタル/社内システム管理者,2026-06-14,job-engine-hit
不二越機械工業株式会社,1100001002967,○,求人ボックス,3,「北海道」総合機械メーカー管理職候補 プライム上場／世界トッ/未経験歓迎／半導体装置の機械設計／経験必須／年休120日以上/総合機械メーカーの 総合職 営業／営業事務 年休123日,2026-06-14,job-engine-hit
双信電機株式会社,1100001008031,○,求人ボックス,15,長野県佐久市／ノイズフィルタの電気設計 福利厚生充実の老舗電/長野県佐久市／サービスエンジニア 第二新卒・未経験者歓迎 福/東京都港区／法務 管理職候補／残業月10h程度 福利厚生充実/長野県佐久市／社内SE 完全週休2日制／福利厚生充実の老舗電/宮崎市／高周波部品設計・評価 完全週休2日制 福利厚生充実／,2026-06-14,job-engine-hit
株式会社ウィルトス,1100001014129,○,求人ボックス,3,ホテルの客室清掃業務／ドーミーイン甲府丸の内／1人でモクモク/長野県松本市／管工事施工管理技士 働き方を見直したい方／基本/ビルマネジメント事業の営業部長,2026-06-14,job-engine-hit
中日本メディカルリンク株式会社,1100001015044,○,求人ボックス,17,2026年1月より勤務開始! 年間休日120日以上／若手活躍/長野／安曇野／医療機器の提案営業 営業経験・医療業界経験者歓/長野市／病院で使う内視鏡の専任営業／残業20H／年休123日/慢性期医療の「営業」未経験OK／年休123日／賞与年3回/未経験歓迎 長野／上伊那郡／在宅医療・介護用品の提案営業 時,2026-06-14,job-engine-hit
木下建設株式会社,1100001022395,○,求人ボックス,4,年休120日以上／賞与2回／残業ほぼナシ／経験を活かしてもっ/大阪／事業用不動産の仕入れ・販売 年間休日125日 生成AI/埼玉「土木施工管理」経験者採用／年俸550万 手当充実/不動産プロパティマネージャー、不動産ビルメンテナンス／管理員,2026-06-14,job-engine-hit
株式会社デリクックちくま,1100005001461,○,求人ボックス,25,調理補助／企業/調理師／調理員／障害福祉事業所/調理師／調理員／グループホーム/調理師／調理員／有料老人ホーム/調理師／調理員／特別養護老人ホーム,2026-06-14,job-engine-hit
高沢産業株式会社,2100001001852,○,求人ボックス,1,2027 新卒採用 商社／鉄鋼・金属,2026-06-14,job-engine-hit
長野日産自動車株式会社,2100001002470,○,求人ボックス,25,自動車整備士／長野県全地域に32店舗を展開する日産最大級のデ/北信エリア／自動車整備士 日産ディーラーの中でも優秀ディーラ/南信エリア／自動車整備士 日産ディーラーの中でも優秀ディーラ/カウンターセールス／賞与あり／交通費支給／車通勤OK／急募／/中信エリア／自動車整備士 日産ディーラーの中でも優秀ディーラ,2026-06-14,job-engine-hit
長野日野自動車株式会社,2100001002512,○,求人ボックス,4,自動車整備士・ピットスタッフ/長野／トラック・バス整備士・入社一時金有／基本土日祝休／賞与/自動車整備士・メカニック／日曜休み/自動車整備士・ピットスタッフ／賞与／住宅手当／残業手当／未経,2026-06-14,job-engine-hit
株式会社トコロ,1200001003699,○,求人ボックス,5,看護師／「岐阜県／岐阜市」日勤のみ・土日休み。リハビリデイサ/言語聴覚士・ST「7月急募」／介護施設／デイサービス／常勤／/「復職・ブランクOK」正看護師・准看護師／デイケア・デイサー/第二新卒歓迎 岐阜市／転勤なし／紙のルート営業 既存／年休1/正看護師／老人デイサービスセンター／コンパスウォーク美園,2026-06-14,job-engine-hit
株式会社人材Ｂａｎｋ,1200001008475,○,求人ボックス,1,カンタンな商品PRのお仕事,2026-06-14,job-engine-hit
大垣ガス株式会社,1200001013368,,,,,2026-06-14,not-found
株式会社可児ゴルフ倶楽部,1200001017708,○,求人ボックス,1,ゴルフクラブの搬送スタッフ,2026-06-14,job-engine-hit
レシップ株式会社,1200001020323,○,求人ボックス,21,池袋／PL「バス運行管理システム開発」鉄道・バス電装品TOP/池袋／SREグループマネージャー 在宅・フレックス可／バス鉄/池袋／新規サービスBtoB営業「観光×モバイルチケット」 1/岐阜／本巣／海外向け品質保証「リーダー」 英語力を生かす／鉄/岐阜／本巣／設計開発「英語力生かせる／鉄道車両向け照明システ,2026-06-14,job-engine-hit
セキュリティ東海株式会社,1200001020728,,,,,2026-06-14,not-found
株式会社技研サービス,2200001001537,○,求人ボックス,2,新設総合病院の設備管理/社内SE／経験者募集／納期なし／土日休みの完全週休2日／年間,2026-06-14,job-engine-hit
中日技研株式会社,2200001003401,○,求人ボックス,2,清掃 施設内清掃員 12時まで 月曜および木曜の勤務/未経験者歓迎 フレキシブルチューブ製造スタッフ,2026-06-14,job-engine-hit
株式会社美濃庄,2200001005273,○,求人ボックス,2,福祉用具専門相談員業務／介護関連事業所/多治見市／転勤なし／「岐阜で最初の介護用品レンタル企業」未経,2026-06-14,job-engine-hit
株式会社那加クレーンセンター,2200001007088,,,,,2026-06-14,not-found
株式会社ヒロコーポレーション,2200001008111,○,求人ボックス,7,シーツやタオルのルート配送／営業活動はなし!早番は16:30/「営業事務・CAD事務」／20～30代が中心に活躍中・基本定/剪定・伐採スタッフ 未経験大歓迎 技術を身に付ける! シンプ/正看護師/2027 新卒採用 不動産,2026-06-14,job-engine-hit
株式会社浅井農園,1190001000038,○,求人ボックス,1,栽培管理スタッフ,2026-06-14,job-engine-hit
百五ビジネスサービス株式会社,1190001000896,,,,,2026-06-14,not-found
株式会社トピア,1190001005227,○,求人ボックス,23,2028 インターンシップ 輸送用機器・自動車関連/三重／鈴鹿／インドプロジェクトのブリッジエンジニア 設計支援/三重県鈴鹿市／インド工場 デリー近郊／立ち上げ準備候補 大手/三重県鈴鹿市／資材手配・試作業界のリーディングカンパニー／残/名古屋駅／試作メーカーCAD設計・経験者歓迎・ 試作業界リー,2026-06-14,job-engine-hit
シンフォニア商事株式会社,1190001006712,○,求人ボックス,3,伊勢市 未経験歓迎／試験装置の設計業務 年間休日126日／転/一般事務/未経験から航空機関連の試験装置設計へ／年休126日・フレック,2026-06-14,job-engine-hit
チヨダウーテ株式会社,1190001015556,○,求人ボックス,8,安全衛生管理／HSE／土日休み／年間休日120日以上／経験者/千葉／安全衛生管理／HSE／従業員1000名以上/フォークリフト・機械オペレーター/2027 新卒採用 建材・エクステリア/三重／経理／部長候補,2026-06-14,job-engine-hit
株式会社三水フーズ,2190001006686,○,求人ボックス,1,営業職,2026-06-14,job-engine-hit
シンフォニアエンジニアリング株式会社,2190001006711,○,求人ボックス,22,愛知／サービスエンジニア/物流システム工事における現場監督/「東証プライムグループ」物流システム工事の施工管理スターティ/千葉県船橋市／管工事業の施工管理 年間休日125日／残業月平/三重県伊勢市／搬送設備工事業の施工管理 年間休日125日／残,2026-06-14,job-engine-hit
株式会社東名,2190001015679,○,求人ボックス,25,契約中のお客様への架電スタッフ／20～30代8割・即日面接可/名駅／業務改善エンジニア コールセンターDX推進／年休124/名駅／システム開発課／社内SE／基幹システム開発 年休124/法人向けインサイドセールス/愛知／尾張旭市・転勤無し／官庁・大手元請中心 業務用エアコン,2026-06-14,job-engine-hit
第一設計監理株式会社,1160001004933,,,,,2026-06-14,not-found
滋賀ダイハツ販売株式会社,1160001013406,○,求人ボックス,7,自動車整備士／ダイハツ正規ディーラー／長く続けられる理由があ,2026-06-14,job-engine-hit
滋賀日野自動車株式会社,1160001014544,○,求人ボックス,9,自動車整備士（要自動車整備士3級）/日野の自動車整備士／無資格OK/消防車やトラックなど大型車両の「メカニック」／年間休日116/バスやトラックなど大型車両の 営業 年間休日116日/自動車整備士／待遇、仕事共に安定。大型車整備士をしています,2026-06-14,job-engine-hit
株式会社内田組,2160001000205,○,求人ボックス,1,土木施工スタッフ／週1日～／未経験歓迎!／日払い可能／マイカ,2026-06-14,job-engine-hit
株式会社伊藤組,2160001009444,○,求人ボックス,8,型枠大工/建築・土木技術職／正社員「無期契約」/工事監督/岩手で築く誇りあるキャリア／地域に根ざす老舗企業／建築施工管/地域に誇れる建物を、資格と経験でリード／1919年創業の安定,2026-06-14,job-engine-hit
キタイ設計株式会社,2160001010600,○,求人ボックス,2,未経験OK 総合職 営業／技術 年休126日／残業11.7h/総合職 営業／宮城県 仙台市青葉区,2026-06-14,job-engine-hit
三洋環境株式会社,1260001002712,○,求人ボックス,2,清掃スタッフ/未経験者歓迎の3tドライバー,2026-06-14,job-engine-hit
株式会社トヨタレンタリース岡山,1260001004799,○,求人ボックス,3,受付スタッフ/洗車／回送・接客補助スタッフ/2027 新卒採用 リース・レンタル,2026-06-14,job-engine-hit
株式会社コーセイカン,1260001013271,,,,,2026-06-14,not-found
株式会社ジェイ・イー・ティ,1260001018766,○,求人ボックス,7,半導体洗浄装置メーカーでの総務・人事/半導体洗浄装置メーカーでの内部監査/半導体洗浄装置メーカーでの総務・設備/半導体洗浄装置メーカーでの経理アシスタント/世界有数の半導体洗浄メーカーでの財務・経理,2026-06-14,job-engine-hit
株式会社エルジオ,1260001022339,○,求人ボックス,20,岡山県下のFC企業として運営するデイサービスです／看護師/理学療法士・PT「7月急募」／介護施設／デイサービス／常勤／/看護師／「岡山県／玉野市」岡山県下のFC企業として運営するデ/岡山／玉野市／自動車の販売スタッフ ノルマ無し／賞与実績5ヶ/岡山市北区／未経験歓迎／自動車の販売スタッフ ノルマ無し／賞,2026-06-14,job-engine-hit
株式会社ウインズ,1260001026406,○,求人ボックス,9,管楽器・打楽器等の楽器修理と管理監督業務/営業スタッフ/株式会社ウインズあそびのてんさい保育園の保育士求人・採用情報/「総務IT推進」世界10カ国90店舗!「博多一幸舎」を展開す/「日勤のみ」ケアマネジャー／正職員／居宅介護支援／社会保障完,2026-06-14,job-engine-hit
株式会社アールエコ,2260001000161,○,求人ボックス,2,浄化槽用ブロワの組立・取付スタッフ/営業スタッフ／年休120日／基本定時退社／45歳未満全員面接,2026-06-14,job-engine-hit
株式会社カロスアウラ,2260001005391,○,求人ボックス,1,産業廃棄物の収集ドライバー,2026-06-14,job-engine-hit
Ｈｉクラテス株式会社,2260001004724,○,求人ボックス,2,広島／未経験歓迎／ITソリューション営業・インセンティブ充実/法人営業 未経験歓迎／最大3年!奨学金支援制度有,2026-06-14,job-engine-hit
株式会社ホスネット・ジャパン,2260001006084,○,求人ボックス,17,倉庫内作業/営業事務/病院での薬品管理業務/病院内での物品管理/病院内物品管理・配送,2026-06-14,job-engine-hit
株式会社岡山マツダ,2260001006225,○,求人ボックス,5,板金塗装スタッフ／残業少なめ／ディーラー／経験を活かせる安定/「IT2411」データサイエンティスト／その他メーカー系／業/「IT2412」生産性倍増に向けたシステムの構築・運用／保守/板金塗装スタッフ／残業少なめ／ディーラー／きれいな工場で快適/2027 新卒採用 専門店／自動車販売・自動車関連,2026-06-14,job-engine-hit
株式会社イタミアート,2260001008618,○,求人ボックス,4,2027 新卒採用 印刷・印刷関連/自社商品の企画／開発 転勤無し／駅チカ／福利厚生/Webアナリスト／転勤無し／駅チカ／福利厚生/営業事務 転勤無し／チームワーク抜群で教育しっかり／成長企業,2026-06-14,job-engine-hit
四国医療サービス株式会社,1490001000783,○,求人ボックス,4,リネン類の洗濯・生産スタッフ/調理スタッフ/調理員/調理補助スタッフ,2026-06-14,job-engine-hit
株式会社伊予鉄グループ,1500001000476,○,求人ボックス,3,広報/総合職／管理部門・営業企画・事業企画/2027 新卒採用 サービス,2026-06-14,job-engine-hit
株式会社レデイ薬局,1500001004428,○,求人ボックス,25,"薬剤師/「薬剤師」／調剤薬局 ドラッグストア「調剤併設」／広島市安芸/「薬剤師」／調剤薬局／小松島市／20代-40代積極採用中/薬剤師／調剤薬局／調剤業務,服薬指導,薬歴管理,OTC販売,/薬剤師／ドラッグストア／管理薬剤師業務,調剤業務,服薬指導,",2026-06-14,job-engine-hit
株式会社和光ビルサービス,1500001004626,,,,,2026-06-14,not-found
福泉株式会社,2500001003486,○,求人ボックス,13,未経験OK／Webディレクター／自治体サイト制作／土日祝休/介護福祉士／管理者／施設長／ホーム長／賞与あり／有料老人ホー/デイサービスの介護職／初任者研修／介護士／日勤のみ/住宅型有料老人ホームの介護職／介護福祉士／介護士／夜勤専従/放課後児童支援員／学童指導員・ 資格や経験が活かせるお仕事・,2026-06-14,job-engine-hit
瀬戸内運輸株式会社,2500001011778,,,,,2026-06-14,not-found
株式会社大昌鉃工所,2500001014698,○,求人ボックス,2,愛媛／営業転勤無／賞与年4回／休日年115日／育休等取得率1/愛媛／機械加工オペレーター 転勤無／賞与年4回／休日年115,2026-06-14,job-engine-hit
九州警備保障株式会社,1330001001087,○,求人ボックス,1,警備員／福岡市内及び近郊の交通誘導警備、雑踏警備,2026-06-14,job-engine-hit
フクダ電子西部南販売株式会社,1330001004032,○,求人ボックス,6,沖縄／医療機器営業 大手医療機器メーカーフクダ電子G／業界未/熊本／医療機器営業 大手医療機器メーカーフクダ電子G／業界未/大分／フィールドサービスエンジニア 未経験歓迎／年休125日/宮崎／医療機器営業 東証スタンダード上場フクダ電子G／未経験/未経験歓迎 熊本／フィールドサービスエンジニア 年休125日,2026-06-14,job-engine-hit
熊本綜合管理株式会社,1330001001442,,,,,2026-06-14,not-found
木村電機株式会社,1330001011094,○,求人ボックス,1,営業職,2026-06-14,job-engine-hit
株式会社旭製作所,1330001018362,○,求人ボックス,2,製缶工～産業機械のものづくり職人へ ～ 残業なし/熊本／荒尾市／社内SE ERP／インフラ管理者／1950年創,2026-06-14,job-engine-hit
ヒノマル株式会社,1330001027512,○,求人ボックス,23,ホールスタッフ／「用賀駅徒歩1分」履歴書不要&人柄重視の採用/調理見習い/ホールスタッフ/食料品製造／ライン作業／梱包 鶏肉のカット·包装 未経験歓迎/熊本 熊本市／農業専門商社の提案営業／年休125日／完全週休,2026-06-14,job-engine-hit
株式会社ＲＫＫＣＳ,2330001000063,○,求人ボックス,6,「広報メンバー大手IT企業／年間休日125日」自治体・金融機/「広報メンバー大手IT企業／東京勤務／年間休日125日」自治/「企画営業自治体／金融機関向け／業界シェアトップクラス」年休/熊本市／プログラマー／行政業務システム 在宅可／年休123日/2027 新卒採用 ソフトウエア,2026-06-14,job-engine-hit
株式会社九州開発エンジニヤリング,2330001001086,○,求人ボックス,2,「測量」熊本」年休124日」移住支援金有」平均勤続15年以上/補償業務／熊本 年休124日／移住支援金有／平均勤続15年以,2026-06-14,job-engine-hit
株式会社エムロード,2330001004502,○,求人ボックス,17,自動車買取販売店での営業スタッフ/カタログ・Webなどの「グラフィックデザイナー」／経験者向け/企画段階～納品まで携わる「企画／コピーライター」／経験者向け/「薬剤師」／調剤薬局／神戸市垂水区／20代-40代積極採用中/PV・会社案内動画を制作する「映像クリエイター」／経験者向け,2026-06-14,job-engine-hit
株式会社永野商店,2330001006960,,,,,2026-06-14,not-found
株式会社ＡＲＩＡＫＥ,3330001000228,○,求人ボックス,4,熊本／技術系総合職／設計／調査／測量/スタイリスト・ブランク可の美容師/賞与年3回「技術系総合職 」退職金あり」社宅有り,2026-06-14,job-engine-hit
クリーンペア九州株式会社,3330001001291,○,求人ボックス,9,清掃／清掃パート／未経験OK／主婦パート／シニア／中高年/清掃／清掃パート／未経験OK／シニア／中高年／短時間/清掃／清掃パート／未経験OK／短時間／シニア／中高年/清掃／管理／現場管理／スタッフ管理/清掃／清掃パート／未経験OK／シニア／中高年,2026-06-14,job-engine-hit
株式会社鈴弥洋行,1380001005562,○,求人ボックス,1,インフラエンジニア／年休124日／自由度高い働き方で安定のキ,2026-06-14,job-engine-hit
東邦福島株式会社,1380001009126,○,求人ボックス,2,一般高圧ガスの配送スタッフ／土日祝休み／年休123日／未経験/営業職／ルート営業・配送,2026-06-14,job-engine-hit
ゼビオ株式会社,1380001025412,○,求人ボックス,19,ゴルフ接客販売／Victoria Golf 秋田茨島店/スポーツ用品接客販売小売/ゴルフ業界経験者/スポーツ小売業経験者/スポーツ用品の接客販売・小売業,2026-06-14,job-engine-hit
朝日機工株式会社,2120001155226,,,,,2026-06-14,not-found
日産プリンス福島販売株式会社,2380001003516,,,,,2026-06-14,not-found
東北アルフレッサ株式会社,2380001005082,○,求人ボックス,5,"薬剤師／企業／企業内管理薬剤師業務,DI業務,品質管理/薬剤師／企業／企業内管理薬剤師業務,DI業務,品質管理,在庫/薬剤師／/「薬剤師」／医薬品商社「卸」／千代田区／20代-40代積極採/2027 新卒採用 商社／薬品・化粧品",2026-06-14,job-engine-hit
福島建機株式会社,2380001006444,○,求人ボックス,1,営業,2026-06-14,job-engine-hit
株式会社福島中央テレビ,2380001006502,○,求人ボックス,1,2027 新卒採用 放送,2026-06-14,job-engine-hit
グラントマト株式会社,2380001011667,○,求人ボックス,1,米集荷スタッフ パートアルバイト,2026-06-14,job-engine-hit
常磐共同ガス株式会社,2380001012987,○,求人ボックス,1,既存顧客へのガス営業,2026-06-14,job-engine-hit
株式会社シマ商会,2380001015610,○,求人ボックス,18,「自動車部品の整備士 解体スタッフ」 世界160カ国へ車の輸/「埼玉県久喜市」車両検品・店舗サポートスタッフ未経験歓迎／残/自動車整備士（無資格可）/「反響営業メイン」中古トラックの買取販売 世界160カ国へ車/「査定・買取営業」世界160カ国へ車の輸出販売を行う総合商社,2026-06-14,job-engine-hit
株式会社クリーンジャックシステム,1050001009893,,,,,2026-06-14,not-found
株式会社ＪＭホールディングス,1050001011577,,,,,2026-06-14,not-found
ハムリー株式会社,1050001019190,○,求人ボックス,1,動物飼育管理／業界経験者歓迎／生物系専門学校出身の方歓迎,2026-06-14,job-engine-hit